Word,中文,詞性,例句,中文說明,EN,US
tenth,第十（的）,ordinal number,This is his tenth year of working for the company.,這是他就職於該公司的第十個年頭。,/tenθ/,/tenθ/
term,期，期限,noun,He served a short term for drunk driving.,他因酒後開車而短期入獄。,/tɜːm/,/tɜːrm/
terrible,糟糕的;可怕的;嚴重的;低劣的,adjective,The weather was terrible.,天氣糟透了。,/ˈterəbl/,/ˈterəbl/
terribly,很糟；很不好,adverb,I slept terribly last night.,我昨晚睡得很不好。,/ˈterəbli/,/ˈterəbli/
test,測驗，考查,noun,The class are doing/having a spelling test today.,今天班裡有一個拼寫測驗。,/test/,/test/
text,（書、雜誌等中區別於圖片的）正文，文字材料,noun,The book has 500 pages of text.,這本書正文有500頁。,/tekst/,/tekst/
than,比,preposition,My son is a lot taller than my daughter.,我的兒子比女兒高得多。,/ðən/,/ðæn/
thank,感謝，謝謝,verb,He thanked me for taking him home.,他感謝我送他回家。,/θæŋk/,/θæŋk/
thanks,（同 thank you）,exclamation,"""Shall I do that for you?"" ""No, thanks.""",「要我幫忙嗎？」 「不用，謝謝。」,/θæŋks/,/θæŋks/
thank you,謝謝你,exclamation,"That was a delicious lunch, thank you.",午餐很好吃，謝謝你。,,
that,那;那個;那人,determiner,I've never liked that cousin of hers.,我從來沒喜歡過她的那個表親。,/ðæt/,/ðæt/
the,（用於名詞前，指聽者或讀者已知的事物或人，尤指已提到的或能被領會的事物或人）,determiner,"I just bought a new shirt and some new shoes. The shirt was pretty expensive, but the shoes weren't.",我剛買了一件新襯衣和幾雙新鞋。襯衣很貴，但鞋子不貴。,/ðə/,/ði/
theatre,劇院，戲院;電影院,noun,the Lyceum Theatre ,蘭心劇院,/ˈθɪətə(r)/,/ˈθiːətər/
their,他們的;她們的;它們的,determiner,He gave them their coats.,他把他們的外衣交給了他們。,/ðeə(r)/,/ðer/
theirs,他們的，她們的，它們的（所有物）,pronoun,Which children are theirs?,那些孩子是他們的？,/ðeəz/,/ðerz/
them,（they 的受格）他們，她們，它們,pronoun,I've lost my keys. I can't find them anywhere.,我丟了鎖匙，到處都找不著。,/ðəm/,/ðem/
theme,（談話、書籍、電影等的）題目，主題,noun,The theme of loss runs through most of his novels.,失落這一主題貫穿了他的大多數小說作品。,/θiːm/,/θiːm/
themselves,（they 的反身形式）他們自己，她們自己，它們自己,pronoun,They asked themselves where they had gone wrong.,他們在反省自己哪裡出錯了。,/ðəmˈselvz/,/ðəmˈselvz/
then,在當時（過去或未來）（的）;在那時（的）,adverb,I was working in the city then.,那時我在城裡工作。,/ðen/,/ðen/
theory,理論;學說;意見,noun,economic theory,經濟理論,/ˈθɪəri/,/ˈθiːəri/
there,往那裡;在那裡;到那裡,adverb,Put the chair there.,把椅子放在那裡。,/ðeə(r)/,/ðer/
therefore,因此，因而，所以,adverb,We were unable to get funding and therefore had to abandon the project.,我們無法籌到資金，因此不得不放棄計劃。,/ˈðeəfɔː(r)/,/ˈðerfɔːr/
they,（作主語）他們，她們，它們,pronoun,I've known the Browns for a long time. They're very nice people.,我認識布朗一家已經很久了。他們都很友善。,/ðeɪ/,/ðeɪ/
thick,厚的;粗的;粗壯的,adjective,a thick rope,粗繩子,/θɪk/,/θɪk/
thickly,（形狀）厚厚地,adverb,The bread had been cut very thickly.,面包切得很厚。,/ˈθɪkli/,/ˈθɪkli/
thickness,厚；粗,noun,The thickness of the mulch will prevent weeds from growing around the shrubs.,厚厚的覆蓋物會防止灌木周圍長出雜草。,/ˈθɪknəs/,/ˈθɪknəs/
thief,小偷，賊,noun,"The art gallery was broken into last night, and the thieves got away with two valuable paintings.",藝術館昨晚遭入室盜竊，被偷走了兩幅珍貴的畫。,/θiːf/,/θiːf/
thin,薄的；細的,adjective,a thin book,薄薄的書,/θɪn/,/θɪn/
thing,物，東西,noun,What's that thing over there?,那邊的是甚麼東西？,/θɪŋ/,/θɪŋ/
think,相信;覺得;思考,verb,I think (that) I've met you before.,我覺得以前見過你。,/θɪŋk/,/θɪŋk/
think about,記起，想起;想像,phrasal verb,I thought of you immediately when they said they wanted someone who could speak English.,當他們說想找一個會說英語的人時，我馬上想到了你。,,
thinking,想，思考,noun,I'll have to do some thinking about how best to arrange the books.,我得想一想怎樣擺放這些書最好。,/ˈθɪŋkɪŋ/,/ˈθɪŋkɪŋ/
think of,想出;發明,phrasal verb,We'll have to think of a pretty good excuse for being late.,我們得想一個很好的遲到藉口。,,
think over,（作決定前）認真考慮,phrasal verb,I'll think it over and give you an answer next week.,我會認真考慮的，下週給你答覆。,,
think up,想出（新主意或新計劃）,phrasal verb,I don't want to go tonight but I can't think up a good excuse.,我今晚不想去，但又想不出一個好的藉口。,,
third,第三,ordinal number,the third road on the right,右邊第三條路,/θɜːd/,/θɜːrd/
thirsty,口渴的,adjective,I felt/was hot and thirsty after the basketball game.,籃球比賽後我又熱又渴。,/ˈθɜːsti/,/ˈθɜːrsti/
thirteen,（數字）13,number,Some people think that thirteen is an unlucky number.,一些人認為十三是個不吉利的數字。,/ˌθɜːˈtiːn/,/ˌθɜːrˈtiːn/
thirteenth,第十三,ordinal number,My birthday is on the thirteenth (of October).,我的生日是（10月）13日。,/ˌθɜːˈtiːnθ/,/ˌθɜːrˈtiːnθ/
thirtieth,第十三,ordinal number,,,/ˈθɜːtiəθ/,/ˈθɜːrtiəθ/
thirty,（數字）30,number,"twenty-nine, thirty, thirty-one",29，30，31,/ˈθɜːti/,/ˈθɜːrti/
this,這，這個,determiner,Can you sign this form here for me?,請你在這表上簽個名好嗎？,/ðɪs/,/ðɪs/
thorough,仔細的,adjective,a thorough revision of the manuscript,對手稿的仔細修改,/ˈθʌrə/,/ˈθɜːrəʊ/
thoroughly,非常,adverb,I thoroughly enjoyed the performance.,我非常喜歡這個演出。,/ˈθʌrəli/,/ˈθɜːrəli/
though,雖然，儘管,conjunction,"She hasn't called, even though she said she would.",雖然她說過要打電話，可還沒打。,/ðəʊ/,/ðəʊ/
thought,（think的過去式及過去分詞）,verb,Ask me again tomorrow. I'll have to give it some thought.,明天再問我吧，我還得考慮一下。,/θɔːt/,/θɔːt/
thousand,（數字）1000,number,They had driven over a/one thousand miles.,他們駕車超過一千英里。,/ˈθaʊznd/,/ˈθaʊznd/
thousandth,第一千,ordinal number,"Congratulations, you are our thousandth customer, and we have a special thank-you gift for you.",恭喜，你是我們的第一千名顧客，我們有一份特殊的禮物向你致謝。,/ˈθaʊznθ/,/ˈθaʊznθ/
thread,線,noun,needle and thread,針線,/θred/,/θred/
threat,威脅，恐嚇,noun,Her parents carried out their threat to take away her mobile phone if her grades didn't improve.,她父母威脅說，如果她不能提高成績，就要沒收她的手機。,/θret/,/θret/
threaten,威脅，恐嚇;揚言要,verb,They threatened the shopkeeper with a gun.,他們用槍威脅店主。,/ˈθretn/,/ˈθretn/
threatening,威脅（性）的，恐嚇（性）的,adjective,threatening behaviour,恐嚇行為,/ˈθretnɪŋ/,/ˈθretnɪŋ/
three,（數字）三,number,I've got three sisters.,我有三個姐妹。,/θriː/,/θriː/
throat,頸前部;咽喉，喉嚨,noun,A fish bone got stuck in my throat.,我喉嚨裡鯁了一根魚刺。,/θrəʊt/,/θrəʊt/
through,通過;穿越,preposition,They walked slowly through the woods.,他們緩步穿過樹林。,/θruː/,/θruː/
throughout,在各處;自始至終,preposition,People throughout the country are out of work.,全國各地的人都失去了工作。,/θruːˈaʊt/,/θruːˈaʊt/
throw,投;拋;擲;扔,verb,My friend threw the ball back over the fence.,我朋友把球從圍欄上擲了回去。,/θrəʊ/,/θrəʊ/
throw away,丟棄，扔掉,phrasal verb,So when are you going to throw away those old magazines?,那麼你打算甚麼時候把那些舊雜誌扔掉？,,
thumb,拇指,noun,We thumbed a lift to London.,我們搭便車去了倫敦。,/θʌm/,/θʌm/
Thursday,星期四,noun,I'm getting my hair cut after work on Thursday.,星期四下班後我去理髮。,,
thus,如此，這樣,adverb,"Bend from the waist, thus.",彎腰，就這樣。,/ðʌs/,/ðʌs/
ticket,票;券;車票;入場券,noun,a concert ticket,音樂會票,/ˈtɪkɪt/,/ˈtɪkɪt/
tidy,整齊的;整潔的，有條理的,adjective,The house was clean and tidy.,房子乾淨整潔。,/ˈtaɪdi/,/ˈtaɪdi/
tie,打結；繫，縛，捆，紮,verb,Could you tie this piece of string for me?,你能幫我把這個繩子打個結嗎？,/taɪ/,/taɪ/
tie up,把（某人）捆綁起來,phrasal verb,The burglars had tied him up (to the bed).,竊賊們把他捆了起來（綁在床上）。,,
tight,緊的；密封的（地）；牢固的（地）,adjective,I can't untie the knot - it's too tight.,我解不開這個結——太緊了。,/taɪt/,/taɪt/
tightly,緊緊地,adverb,The baby was clutching his toy tightly in his grubby fist.,嬰兒用髒兮兮的手緊緊抓著他的玩具。,/ˈtaɪtli/,/ˈtaɪtli/
till,直到;到…為止,preposition,We waited till six thirty for you.,我們一直等你到六點半。,/tɪl/,/tɪl/
time,時間,noun,He wants to spend more time with his family.,他想多花時間陪家人。,/taɪm/,/taɪm/
timetable,時間表，行程安排,noun,The timetable for our trip to Paris includes visits to Notre-Dame and the Louvre.,我們巴黎之行的時間表上包括參觀巴黎聖母院和盧浮宮。,/ˈtaɪmteɪbl/,/ˈtaɪmteɪbl/
tin,錫,noun,a tin of beans,一罐豆子,/tɪn/,/tɪn/
tiny,微小的，極小的,adjective,a tiny flower,極小的花,/ˈtaɪni/,/ˈtaɪni/
tip,（使）傾斜；（使）傾覆,verb,"The table tipped, and all our drinks fell on the floor.",桌子翻了，結果我們的所有飲料都掉在地上。,/tɪp/,/tɪp/
tip over,（使）翻倒,phrasal verb,Be careful not to tip that cup of coffee over.,小心別把那杯咖啡打翻了。,,
tire,（使）感到疲勞;（使）感到累,verb,"She's been leading throughout the race, but it now looks as if she's tiring.",她在整個賽跑中一路領先，但現在看上去似乎累了。,/ˈtaɪə(r)/,/ˈtaɪər/
tired,疲勞的，疲倦的，累的,adjective,I was so tired when I got home from work last night that I had a quick nap.,我昨晚下班回家後很累，就小睡了一會兒。,/ˈtaɪəd/,/ˈtaɪərd/
tire out,使（某人）筋疲力盡,phrasal verb,Let the kids run around outside - that'll tire them out.,讓孩子在院子裡跑跑吧，他們很快就會筋疲力盡的。,,
tiring,令人疲倦的，累人的,adjective,I've had a very tiring day.,我這一天過得很累。,/ˈtaɪərɪŋ/,/ˈtaɪərɪŋ/
title,題目;標題;名稱,noun,"The title of Evelyn Waugh's first novel was ""Decline and Fall"".",伊芙琳‧沃的第一部小說名為《衰落與瓦解》。,/ˈtaɪtl/,/ˈtaɪtl/
to,（用於動詞前，表示不定式）,preposition,She agreed to help.,她答應幫忙。,/tə/,/tu/
today,（在）今天，（在）今日,adverb,What's the date today?,今天幾號？,/təˈdeɪ/,/təˈdeɪ/
toe,腳趾,noun,your big toe (= your largest toe),你的大腳趾,/təʊ/,/təʊ/
together,一起；共同,adverb,We used to go to yoga together.,我們過去常常一起去做瑜伽。,/təˈɡeðə(r)/,/təˈɡeðər/
toilet,坐便器，馬桶,noun,I was on (= using) the toilet when the phone rang.,電話鈴響時我正在上廁所。,/ˈtɔɪlət/,/ˈtɔɪlət/
tomato,番茄，西紅柿,noun,a sliced tomato,番茄切片,/təˈmɑːtəʊ/,/təˈmeɪtəʊ/
tomorrow,（在）明天，（在）明日,adverb,I'm having dinner with Rachel tomorrow night.,我明天晚上跟瑞秋共進晚餐。,/təˈmɒrəʊ/,/təˈmɑːrəʊ/
ton,公噸（等於1000公斤）,noun,We have tons of food left over from the party.,我們的派對剩下許多食物。,/tʌn/,/tʌn/
tone,（常指對聽話人的）語氣，腔調，口吻,noun,I tried to use a sympathetic tone of voice.,我試著用一種同情的語氣說話。,/təʊn/,/təʊn/
tongue,舌頭,noun,I burned my tongue on some soup last night.,我昨晚喝湯時燙著了舌頭。,/tʌŋ/,/tʌŋ/
tonight,（在）今晚;（在）今夜,adverb,Tonight will be my first chance to meet her.,今晚將是我與她見面的第一次機會。,/təˈnaɪt/,/təˈnaɪt/
tonne,公噸,noun,Oil deliveries will fall 2.5 million tonnes short this year.,今年的石油輸送量將下降250萬公噸。,/tʌn/,/tʌn/
too,太；過於,adverb,I'm too fat.,我太胖了。,/tuː/,/tuː/
tool,（用於生產或維修的）工具，器具,noun,power tools,電動工具,/tuːl/,/tuːl/
tooth,牙，牙齒,noun,a broken/missing tooth,破損／掉了的牙齒,/tuːθ/,/tuːθ/
top,頂；頂端；頂部,noun,She waited for me at the top of the stairs.,她在樓梯梯頂位置等我。,/tɒp/,/tɑːp/
topic,話題;主題,noun,Our discussion included topics such as acid rain and the melting of polar ice.,我們的討論涉及各種話題，例如酸雨和極冰融化。,/ˈtɒpɪk/,/ˈtɑːpɪk/
total,總額;總數,noun,"At that time of day, cars with only one occupant accounted for almost 80 percent of the total.",一天中的那個時候，只有一人乘坐的汽車幾乎佔車輛總數的80%。,/ˈtəʊtl/,/ˈtəʊtl/
totally,徹底,adverb,Her second husband is totally different from Mark.,她的第二任丈夫與馬克截然不同。,/ˈtəʊtəli/,/ˈtəʊtəli/
touch,碰，觸摸,verb,That paint is wet - don't touch (it).,那塊油漆未乾——別碰（它）。,/tʌtʃ/,/tʌtʃ/
tough,結實的；堅固的；堅強的,adjective,These toys are made from tough plastic.,這些玩具是由結實的塑膠製成。,/tʌf/,/tʌf/
tour,參觀;遊歷，觀光,noun,We went on a guided tour of the cathedral/museum/factory.,我們在導遊的帶領下參觀了大教堂／博物館／工廠。,/tʊə(r)/,/tɔː(r)/
tourist,旅遊者，遊客,noun,Millions of tourists visit Rome every year.,每年有數百萬遊客來到羅馬。,/ˈtʊərɪst/,/ˈtɔːrɪst/
towards,向，朝；對著,preposition,She stood up and walked towards him.,她站起身來，向他走去。,/təˈwɔːdz/,/tɔːrdz/
towel,毛巾;紙巾,noun,"She came downstairs after her shower, wrapped in a towel.",她淋浴後裹著毛巾走下樓來。,/ˈtaʊəl/,/ˈtaʊəl/
tower,塔;建築物的塔形部分;塔樓，高樓,noun,the Eiffel tower,艾菲爾鐵塔,/ˈtaʊə(r)/,/ˈtaʊər/
town,城鎮，市鎮,noun,a seaside/coastal town,海濱城鎮,/taʊn/,/taʊn/
toy,玩具,noun,a clockwork/wind-up toy,裝有發條的玩具,/tɔɪ/,/tɔɪ/
trace,找到，查出，發現,verb,The police are trying to trace the mother of a newborn baby found abandoned outside a hospital.,員警試圖查出那位把新生嬰兒拋棄在醫院外面的母親。,/treɪs/,/treɪs/
track,（鐵路的）軌道,noun,a ten-mile stretch of track,十英里長的鐵軌,/træk/,/træk/
trade,貿易；交易；買賣,noun,The country's trade in manufactured goods has expanded in the last ten years.,該國的工業品貿易在最近十年裡擴大了規模。,/treɪd/,/treɪd/
trading,買賣；貿易；營業；生意,noun,She doesn't approve of Sunday trading (= shops being open on Sunday).,她不贊成星期天商店開門營業。,/ˈtreɪdɪŋ/,/ˈtreɪdɪŋ/
tradition,傳統,noun,Fireworks have long been an American tradition on the Fourth of July.,七月四日國慶日放煙火是美國人長期以來的傳統。,/trəˈdɪʃn/,/trəˈdɪʃn/
traditional,傳統的,adjective,The villagers retain a strong attachment to their traditional values/customs/beliefs.,村民依然固守著傳統的價值觀／習俗／信仰。,/trəˈdɪʃənl/,/trəˈdɪʃənl/
traditionally,根據傳統地;傳統上,adverb,Quaker meetings are traditionally held in silence.,傳統上，貴格會教徒的祈禱會要安靜地舉行。,/trəˈdɪʃənəli/,/trəˈdɪʃənəli/
traffic,交通流量,noun,There was heavy/a lot of traffic on the roads this morning.,今晨道路上車流量很大。,/ˈtræfɪk/,/ˈtræfɪk/
train,火車，列車,noun,a goods/freight/passenger train,一列貨運／客運列車,/treɪn/,/treɪn/
training,訓練;培訓,noun,a training course,培訓課程,/ˈtreɪnɪŋ/,/ˈtreɪnɪŋ/
transfer,搬;轉移,verb,He has been transferred to a psychiatric hospital.,他被轉到一家精神病醫院。,/trænsˈfɜː(r)/,/trænsˈfɜːr/
transform,使徹底改觀;使大變樣,verb,The reorganization will transform the entertainment industry.,這次重組將使娛樂業大為改觀。,/trænsˈfɔːm/,/trænsˈfɔːrm/
translate,譯，翻譯,verb,We were asked to translate a list of sentences.,我們被要求翻譯一組句子。,/trænzˈleɪt/,/trænzˈleɪt/
translation,（從一種語言到另一種語言的）翻譯；譯文,noun,Students will do one Spanish translation a week.,孩子們每週做一次西班牙語翻譯。,/trænzˈleɪʃn/,/trænzˈleɪʃn/
transparent,透明的,adjective,"Grow the bulbs in a transparent plastic box, so the children can see the roots growing.",把球莖種在透明的塑膠盒裡，這樣孩子就能看到根的生長。,/trænsˈpærənt/,/trænsˈpærənt/
transport,運輸，運送，輸送,noun,the transport of live animals,活體動物的運輸,/ˈtrænspɔːt/,/ˈtrænspɔːrt/
transportation,運輸，運送，輸送,noun,the safe transportation of used nuclear fuel,核燃料的安全運輸,/ˌtrænspɔːˈteɪʃn/,/ˌtrænspərˈteɪʃn/
trap,陷阱;夾子;捕捉器,noun,The fox got its foot caught in a trap.,狐狸的一隻腳被夾子夾住了。,/træp/,/træp/
travel,（通常指長途）旅行,verb,"Between school and university, she spent a year travelling, mostly in Africa and Asia.",中學畢業後，她在上大學以前花了一年時間旅行，主要是在非洲和亞洲。,/ˈtrævl/,/ˈtrævl/
traveller,旅行者;遊客,noun,"This hotel is for serious travellers, rather than tourists on two-week holidays.",這家旅館接待真正熱衷旅行的人士，而不是那些度假兩星期的遊客。,/ˈtrævələ(r)/,/ˈtrævələr/
treat,對待,verb,My parents treated us all the same when we were kids.,小時候，父母對我們一視同仁。,/triːt/,/triːt/
treatment,對待;待遇;處理,noun,Peter gets special treatment because he knows the boss.,彼得認識老闆，所以受到特殊待遇。,/ˈtriːtmənt/,/ˈtriːtmənt/
tree,樹，樹木;喬木,noun,a plum/apple/chestnut tree,李子／蘋果／栗子樹,/triː/,/triː/
trend,趨勢，趨向;傾向，動向,noun,Surveys show a trend away from home-ownership and toward rented accommodation.,調查顯示，出現了一種從私人擁有住房轉向租賃住房的趨勢。,/trend/,/trend/
trial,審判，審理,noun,trial proceedings,審判程序,/ˈtraɪəl/,/ˈtraɪəl/
triangle,三角形,noun,an equilateral/isosceles triangle,等邊／等腰三角形,/ˈtraɪæŋɡl/,/ˈtraɪæŋɡl/
trick,騙局;詭計;惡作劇,noun,She played a really nasty trick on me - she put syrup in my shampoo bottle!,她對我做了一個很討厭的惡作劇——把糖漿放進我裝洗髮精的瓶子裡。,/trɪk/,/trɪk/
trip,（通常指短途的）旅行，行程,noun,The trip from York to Newcastle takes about an hour by train.,乘火車從約克到新堡大約要一個小時。,/trɪp/,/trɪp/
tropical,熱帶的,adjective,tropical fish,熱帶魚,/ˈtrɒpɪkl/,/ˈtrɑːpɪkl/
trouble,問題，困難，麻煩,noun,The tax forms were complicated and I had a lot of trouble with them.,這張稅務表格十分複雜，我填起來很費勁。,/ˈtrʌbl/,/ˈtrʌbl/
trousers,褲子,noun,I need a new pair of trousers to go with this jacket.,我需要一條新褲子來配這件夾克。,/ˈtraʊzəz/,/ˈtraʊzərz/
truck,卡車，貨車，載重汽車,noun,The road was completely blocked by an overturned truck.,道路完全被翻倒的貨車堵住了。,/trʌk/,/trʌk/
TRUE,（尤指事實或陳述）正確的，真實的，確實的；如實的,adjective,Is it true that Mariana and Mark are getting married?,瑪麗安娜和馬克真的要結婚嗎？,/truː/,/truː/
truly,真實地；確實地；如實地,adverb,At this time of year the river is a truly beautiful sight.,每年的這個時候，這條河的景色確實很美。,/ˈtruːli/,/ˈtruːli/
trust,信任，信賴，相信,verb,My sister warned me not to trust him.,我姐姐告誡我不要相信他。,/trʌst/,/trʌst/
truth,真實性,noun,There would seem to be some truth in what she says.,她說的話似乎有些真實的成分。,/truːθ/,/truːθ/
try,試圖，想要；設法，努力,verb,Keep trying and you'll find a job eventually.,不斷努力，你最終會找到工作的。,/traɪ/,/traɪ/
try on,試穿;試戴,phrasal verb,Try on the shoes to see if they fit.,試試那雙鞋子，看合不合適。,,
try out,試用；試驗；檢驗,phrasal verb,Don't forget to try out the equipment before setting up the experiment.,別忘了在安裝實驗設備以前檢驗一下。,,
tube,（塑膠、金屬、橡膠或玻璃製成的）管，管子,noun,Gases produced in the reaction pass through this tube and can then be collected.,反應中產生的氣體穿過這條管子就可以收集起來。,/tjuːb/,/tuːb/
Tuesday,星期二,noun,We'll meet at eight on Tuesday.,我們週二八點見。,,
tune,曲調，曲子;旋律,noun,He was humming a tune as he dried the dishes.,他邊哼著調子，邊擦乾碗碟。,/tjuːn/,/tuːn/
tunnel,隧道；地道；坑道,noun,The train went into the tunnel.,火車駛入隧道。,/ˈtʌnl/,/ˈtʌnl/
turn,（使）轉動;（使）旋轉,verb,The earth turns on its axis once every 24 hours.,地球每24小時繞地軸自轉一周。,/tɜːn/,/tɜːrn/
turn back,（使某人）折回，（使某人）原路返回,phrasal verb,We're lost - we'll have to turn back.,我們迷路了——只好原路返回。,,
turn down,拒絕（提議或請求）,phrasal verb,He offered her a trip to Australia but she turned it/him down.,他邀請她去澳大利亞旅遊，但她拒絕了。,,
turn into,（使）變成;（使）成為,phrasal verb,The council was hoping to turn a children's home into a residence for adolescent girls.,市議會希望把兒童之家變成青春期少女之家。,,
turn off,拐彎;轉入另一條路,phrasal verb,Turn off the motorway at the next exit.,在下一個出口出高速公路。,,
turn on,開始顯露（某品質）,phrasal verb,He can really turn on the charm when he wants to.,只要願意，他還是可以很迷人的。,,
turn out,…地發生（或發展）；結果是（尤指出乎意料的結果）,phrasal verb,"As events turned out, we were right to have decided to leave early.",結果證明，我們當初決定早點離開是正確的。,,
turn over,（引擎）轉動，翻轉，空轉,phrasal verb,"When I put the key in the ignition it turns over, but it won't start.",當我插入鑰匙打火時，引擎開始翻轉但是沒能發動。,,
turn round,使（企業、計劃或體系）好轉，使扭轉，使有起色,phrasal verb,The new management team turned the ailing company around in under six months.,新的管理團隊使這個不景氣的公司在不到半年的時間裡煥發生機。,,
