Word,中文,詞性,例句,中文說明,EN,US
educated,受過教育的;有知識的,adjective,She was probably the most highly educated prime minister of this century.,她可能是本世紀學歷最高的首相。,/ˈedʒukeɪtɪd/,/ˈedʒukeɪtɪd/
education,教育;受教育獲得的知識,noun,As a child he received most of his education at home.,童年時他主要在家中接受教育。,/ˌedʒuˈkeɪʃn/,/ˌedʒuˈkeɪʃn/
effect,效果；影響；結果,noun,The radiation leak has had a disastrous effect on/upon the environment.,核輻射外泄給環境帶來了災難性的影響。,/ɪˈfekt/,/ɪˈfekt/
effective,能産生預期結果的；有效的,adjective,The lighting for the production made a very effective use of shadow.,該戲劇的舞臺燈光設計巧妙地運用了陰影效果。,/ɪˈfektɪv/,/ɪˈfektɪv/
effectively,有效地,adverb,The tablets work more effectively if you take a hot drink after them.,服用這些藥片後再喝杯熱飲，藥效會更好。,/ɪˈfektɪvli/,/ɪˈfektɪvli/
efficient,效率高的；有能力的；有效的；生效的,adjective,The city's transport system is one of the most efficient in Europe.,這座城市的交通系統運行效率很高，在全歐洲名列前茅。,/ɪˈfɪʃnt/,/ɪˈfɪʃnt/
efficiently,有效地,adverb,She runs the business very efficiently.,她的生意做得很順暢。,/ɪˈfɪʃntli/,/ɪˈfɪʃntli/
effort,氣力;精力;努力,noun,If we could all make an effort to keep this office tidier it would help.,如果我們都努力保持整潔，那麽辦公室的面貌肯定會大有改觀。,/ˈefət/,/ˈefərt/
e.g.,例如（exempli gratia的縮寫，可以讀作 e.g.，也可讀作 for example）,phrase,"You should eat more food that contains a lot of fibre, e.g. fruit, vegetables, and bread.",你應該多吃些富含纖維的食物，例如水果、蔬菜和麵包。,,
egg,（食用的）蛋（尤指雞蛋）,noun,a hard-boiled/soft-boiled egg,煮得老的／嫩的雞蛋,/eɡ/,/eɡ/
eight,（數字）八,number,She was eight (years old) when her family moved here.,八歲那年，她家搬到了這裡。,/eɪt/,/eɪt/
eighteen,（數字）18,number,You are allowed to vote at eighteen (= when you are 18 years old),你十八歲的時候開始有選舉權。,/ˌeɪˈtiːn/,/ˌeɪˈtiːn/
eighteenth,第十八（的）,ordinal number,Next Monday is the eighteenth (of February).,下週一是（二月）十八日,/ˌeɪˈtiːnθ/,/ˌeɪˈtiːnθ/
eighth,第八（的）,ordinal number,He was/came eighth in the race.,他賽跑得了第八名。,/eɪtθ/,/eɪtθ/
eightieth,第八（的）,ordinal number,,,/ˈeɪtiəθ/,/ˈeɪtiəθ/
eighty,（數字） 80,number,"seventy-nine, eighty, eight-one",79， 80， 81,/ˈeɪti/,/ˈeɪti/
either,（用於否定句）也,adverb,I don't eat meat and my husband doesn't either.,我不吃肉，我丈夫也不吃。,/ˈaɪðə(r)/,/ˈiːðə(r)/
elbow,肘;（衣服的）肘部,noun,Her arm was bandaged from the elbow to the fingers.,她的手臂從肘部一直到手指全部纏上了繃帶。,/ˈelbəʊ/,/ˈelbəʊ/
elderly,（帶有敬意）年老的;上了年紀的;年紀較大的,adjective,elderly relatives/parents,年邁的親戚／父母,/ˈeldəli/,/ˈeldərli/
elect,選舉，推選,verb,The President is elected for a four-year term of office.,總統任期四年。,/ɪˈlekt/,/ɪˈlekt/
election,選舉,noun,The government is expected to call an election (= allow the country to vote) very soon.,預計政府會很快舉行大選。,/ɪˈlekʃn/,/ɪˈlekʃn/
electric,用電的;電動的,adjective,an electric blanket/car/kettle/light,電熱氈／電動汽車／電水壺／電燈,/ɪˈlektrɪk/,/ɪˈlektrɪk/
electrical,電的;與電有關的,adjective,electrical equipment/goods/devices,電氣設備／電器產品／電氣裝置,/ɪˈlektrɪkl/,/ɪˈlektrɪkl/
electricity,電;電能,noun,The electricity has been turned off.,電已被斷掉了。,/ɪˌlekˈtrɪsəti/,/ɪˌlekˈtrɪsəti/
electronic,（尤指設備）使用電子器件的，電子的,adjective,an electronic keyboard/game,電子鍵盤／遊戲,/ɪˌlekˈtrɒnɪk/,/ɪˌlekˈtrɑːnɪk/
elegant,高雅的;優雅的,adjective,an elegant woman,舉止優雅的女性,/ˈelɪɡənt/,/ˈelɪɡənt/
element,部分;部件;要素,noun,List the elements that make up a perfect dinner party.,列舉出盡善盡美的晚宴所有的構成要素。,/ˈelɪmənt/,/ˈelɪmənt/
eleven,（數字）11,number,There are eleven girls in my class and ten boys.,我班上有11個女生和10個男生。,/ɪˈlevn/,/ɪˈlevn/
eleventh,第十一（的）,ordinal number,Her birthday is on the eleventh (of this month).,她的生日在十一號。,/ɪˈlevnθ/,/ɪˈlevnθ/
else,（用於以 any-，every-，no- 和 some- 開頭的詞後面，或用於 how，what，where，who，why 之後，但不用於 which 之後）其他，另外，別的,adverb,Everybody else has (= all the other people have) agreed except for you.,除了你其他人都同意了。,/els/,/els/
elsewhere,在別處;去別處;到別處,adverb,The report looks at economic growth in Europe and elsewhere.,這份報告研究了歐洲和其他地區的經濟成長狀況。,/ˌelsˈweə(r)/,/ˌelsˈwer/
email,電子郵件系統,noun,You can contact us by email or fax.,你可以透過電子郵件或者傳真聯繫我們。,/ˈiːmeɪl/,/ˈiːmeɪl/
embarrass,使尷尬，使窘迫;使爲難,verb,You're embarrassing him with your compliments!,你的讚美之詞使他很不好意思。,/ɪmˈbærəs/,/ɪmˈbærəs/
embarrassed,窘迫的，尷尬的;害羞的,adjective,She felt embarrassed about undressing in front of the doctor.,在醫生面前脫衣服讓她覺得很尷尬。,/ɪmˈbærəst/,/ɪmˈbærəst/
embarrassing,使人感到窘迫的，令人尷尬的，使人難堪的,adjective,an embarrassing situation,令人尷尬的情形,/ɪmˈbærəsɪŋ/,/ɪmˈbærəsɪŋ/
embarrassment,尷尬，窘迫;侷促不安;令人尷尬的事,noun,She blushed with embarrassment.,她難堪得臉都紅了。,/ɪmˈbærəsmənt/,/ɪmˈbærəsmənt/
emerge,出現，浮現;露出,verb,"She emerged from the sea, blue with cold.",她浮出了海面，渾身凍得發青。,/ɪˈmɜːdʒ/,/ɪˈmɜːrdʒ/
emergency,緊急情況；不測事件；突發事件,noun,How would disabled people escape in an emergency?,如果發生緊急情況，傷殘人士如何逃離？,/ɪˈmɜːdʒənsi/,/ɪˈmɜːrdʒənsi/
emotion,感情，情感；情緒；激情,noun,"Like a lot of men, he finds it hard to express his emotions.",像很多男人一樣，他不大會表達自己的感情。,/ɪˈməʊʃn/,/ɪˈməʊʃn/
emotional,情緒（上）的，情感（上）的,adjective,a child's emotional development,孩子情感方面的發展,/ɪˈməʊʃənl/,/ɪˈməʊʃənl/
emotionally,情緒上地,adverb,Many children have become emotionally disturbed as a result of the abuse they have suffered.,許多兒童因遭受虐待而情緒失常。,/ɪˈməʊʃənəli/,/ɪˈməʊʃənəli/
emphasis,重視;強調,noun,I think we should put as much emphasis on preventing disease as we do on curing it.,我認爲我們應該像重視治療一樣重視疾病的預防。,/ˈemfəsɪs/,/ˈemfəsɪs/
emphasize,強調;重視,verb,I'd just like to emphasize how important it is for people to learn foreign languages.,我只是想強調一下學習外語的重要性。,/ˈemfəsaɪz/,/ˈemfəsaɪz/
empire,帝國,noun,the Holy Roman Empire,神聖羅馬帝國,/ˈempaɪə(r)/,/ˈempaɪər/
employ,僱用,verb,How many people does your company employ?,你們公司僱有多少員工？,/ɪmˈplɔɪ/,/ɪmˈplɔɪ/
employee,受僱者，僱員，員工,noun,The number of employees in the company has trebled over the past decade.,在過去的十年中，這個公司的僱員人數增加了兩倍。,/ɪmˈplɔɪiː/,/ɪmˈplɔɪiː/
employer,僱用者，僱主,noun,We need a reference from your former employer.,我們需要你前任僱主的推薦信。,/ɪmˈplɔɪə(r)/,/ɪmˈplɔɪər/
employment,受僱;就業,noun,Employment levels are unlikely to rise significantly before the end of next year.,在明年年底之前就業率很難有大幅度提升。,/ɪmˈplɔɪmənt/,/ɪmˈplɔɪmənt/
empty,空的;無人的,adjective,an empty house/street,空屋／空無一人的街道,/ˈempti/,/ˈempti/
enable,使能夠；使可能,verb,Computerization should enable us to cut production costs by half.,實現電腦化可以使我們的生産成本減半。,/ɪˈneɪbl/,/ɪˈneɪbl/
encounter,偶然相遇，邂逅，不期而遇,noun,I had an alarming encounter with a wild pig.,我曾經意外地碰到過一頭野豬，真是驚險。,/ɪnˈkaʊntə(r)/,/ɪnˈkaʊntər/
encourage,刺激，激勵；促進；助長,verb,We were encouraged to learn foreign languages at school.,在校時，學校鼓勵我們學習外語。,/ɪnˈkʌrɪdʒ/,/ɪnˈkɜːrɪdʒ/
encouragement,鼓勵，激勵,noun,Children need lots of encouragement from their parents.,孩子需要父母的不斷鼓勵。,/ɪnˈkʌrɪdʒmənt/,/ɪnˈkɜːrɪdʒmənt/
end,末端，盡頭,noun,This cable should have a plug at one end and a socket at the other.,這根電纜應該一端有插頭，另一端有插座。,/end/,/end/
ending,（故事的）結尾，結局,noun,People want love stories with happy endings.,人們希望愛情故事的結局是有情人終成眷屬。,/ˈendɪŋ/,/ˈendɪŋ/
end up,最後處於;最後成爲;以…告終,phrasal verb,They're travelling across Europe by train and are planning to end up in Moscow.,他們正搭火車穿越歐洲旅行，最後一站計劃是莫斯科。,,
enemy,敵人;仇敵;反對者,noun,He's made a few enemies in this company.,他在公司中和幾個人結了怨。,/ˈenəmi/,/ˈenəmi/
energy,精力；活力；幹勁,noun,Since I started eating more healthily I've got so much more energy.,自從更加注意飲食健康以來，我精力愈發充沛了。,/ˈenədʒi/,/ˈenərdʒi/
engage,僱用;聘用,verb,I have engaged a secretary to deal with all my paperwork.,我僱用了一名秘書來處理我全部的文書工作。,/ɪnˈɡeɪdʒ/,/ɪnˈɡeɪdʒ/
engaged,已訂婚的,adjective,Debbie and Christa have just got engaged.,黛比和克力斯塔剛剛訂婚。,/ɪnˈɡeɪdʒd/,/ɪnˈɡeɪdʒd/
engine,引擎；發動機,noun,a jet engine,噴射式引擎,/ˈendʒɪn/,/ˈendʒɪn/
engineer,工程師;工程（或機械）設計人員,noun,a civil engineer,土木工程師,/ˌendʒɪˈnɪə(r)/,/ˌendʒɪˈnɪr/
engineering,工程設計;工程學,noun,The Eiffel Tower is a remarkable feat of engineering.,理查在麻省理工學院攻讀工程學。,/ˌendʒɪˈnɪərɪŋ/,/ˌendʒɪˈnɪrɪŋ/
enjoy,享受…的樂趣;喜愛;欣賞,verb,I really enjoyed that movie/book/concert/party/meal.,我真的很喜歡那部電影／那本書／那場音樂會／那次派對／那頓飯。,/ɪnˈdʒɔɪ/,/ɪnˈdʒɔɪ/
enjoyable,使人快樂的;令人愉快的;有樂趣的,adjective,a very enjoyable game/movie,其樂無窮的遊戲／引人入勝的電影,/ɪnˈdʒɔɪəbl/,/ɪnˈdʒɔɪəbl/
enjoyment,愉快;樂趣;興趣,noun,Knowing the ending already didn't spoil my enjoyment of the movie.,雖然我已經知道了電影的結局，但還是看得津津有味。,/ɪnˈdʒɔɪmənt/,/ɪnˈdʒɔɪmənt/
enormous,極大的；巨大的；龐大的,adjective,an enormous car/house,大轎車／大房子,/ɪˈnɔːməs/,/ɪˈnɔːrməs/
enough,充分；充足,determiner,Is there enough dessert/Are there enough desserts for everyone?,甜點夠大家吃嗎？,/ɪˈnʌf/,/ɪˈnʌf/
ensure,確保；保證,verb,The airline is taking steps to ensure safety on its aircraft.,航空公司正在採取措施以確保其航班的飛行安全。,/ɪnˈʃʊə(r)/,/ɪnˈʃɔː(r)/
enter,進來;進去;進入,verb,The police entered (the building) through/by the side door.,警察從側門進入（這座大樓）。,/ˈentə(r)/,/ˈentər/
entertain,使有興趣;使快樂,verb,We hired a magician to entertain the children.,我們請了一位魔術師表演節目讓孩子們開心。,/ˌentəˈteɪn/,/ˌentərˈteɪn/
entertainer,表演者，藝人,noun,,,/ˌentəˈteɪnə(r)/,/ˌentərˈteɪnər/
entertaining,使人愉快的;有趣的,adjective,an entertaining story/movie,有趣的故事／電影,/ˌentəˈteɪnɪŋ/,/ˌentərˈteɪnɪŋ/
entertainment,娛樂，娛樂節目;娛樂表演,noun,There's not much in the way of entertainment in this town - just the cinema and a couple of pubs.,這個城鎮沒多少娛樂活動——也就只有這家影院和幾家酒館。,/ˌentəˈteɪnmənt/,/ˌentərˈteɪnmənt/
enthusiasm,巨大興趣；熱情；熱忱；熱心,noun,One of the good things about teaching young children is their enthusiasm.,教小孩子的好處之一就是他們對甚麽都充滿了興趣。,/ɪnˈθjuːziæzəm/,/ɪnˈθuːziæzəm/
enthusiastic,熱心的；熱情的；熱衷的,adjective,You don't seem very enthusiastic about the party - don't you want to go tonight?,你好像對這個派對不怎麽熱衷——你今晚不想去了嗎？,/ɪnˌθjuːziˈæstɪk/,/ɪnˌθuːziˈæstɪk/
enthusiastically,熱情地，激動地,adverb,The crowd were waving flags and enthusiastically singing patriotic songs.,人群揮舞著國旗，熱情洋溢地唱著愛國歌曲。,/ɪnˌθjuːziˈæstɪkli/,/ɪnˌθuːziˈæstɪkli/
entire,全部的；整個的；完全的；完整的,adjective,Between them they ate an entire cake.,他們兩個吃了整整一個蛋糕。,/ɪnˈtaɪə(r)/,/ɪnˈtaɪər/
entirely,完全；徹底；完整地,adverb,I admit it was entirely my fault.,我承認全都是我的錯。,/ɪnˈtaɪəli/,/ɪnˈtaɪərli/
entitle,給予權利;使符合資格,verb,Being unemployed entitles you to free medical treatment.,失業時，你有權享受免費醫療。,/ɪnˈtaɪtl/,/ɪnˈtaɪtl/
entry,進入;加入，參加,noun,A flock of sheep blocked our entry to the farm.,一群羊擋住了我們進入農場的路。,/ˈentri/,/ˈentri/
environment,自然環境,noun,Certain chemicals have been banned because of their damaging effect on the environment.,一些化學品因對環境有破壞作用已被禁止使用。,/ɪnˈvaɪrənmənt/,/ɪnˈvaɪrənmənt/
environmental,自然環境的;有關環境的,adjective,People are becoming far more aware of environmental issues.,現在人們對環境問題的關注程度正明顯提高。,/ɪnˌvaɪrənˈmentl/,/ɪnˌvaɪrənˈmentl/
equal,（數量、大小）相同的，相等的,adjective,One litre is equal to 1.76 imperial pints.,1升等於1.76 英製品脫。,/ˈiːkwəl/,/ˈiːkwəl/
equally,平等地；相同地,adverb,"In an ideal world, would everyone get treated equally?",在理想世界裡，每個人都會得到平等待遇嗎？,/ˈiːkwəli/,/ˈiːkwəli/
equipment,設備;器材;用具,noun,office/camping/kitchen equipment,辦公設備／野營用具／廚房用具,/ɪˈkwɪpmənt/,/ɪˈkwɪpmənt/
equivalent,等值的；相等的；等同的,adjective,She's doing the equivalent job in the new company but for more money.,她在新公司做同樣的工作，但薪水比以前高。,/ɪˈkwɪvələnt/,/ɪˈkwɪvələnt/
error,錯誤；謬誤；差錯,noun,He admitted that he'd made an error.,他承認犯了一個錯誤。,/ˈerə(r)/,/ˈerər/
escape,逃走，逃脫，逃離;逃避，避開,verb,Two prisoners have escaped.,兩個犯人逃走了。,/ɪˈskeɪp/,/ɪˈskeɪp/
especially,特別，尤其，格外,adverb,She's not especially interested in sport.,她對體育運動不是特別感興趣。,/ɪˈspeʃəli/,/ɪˈspeʃəli/
essay,（尤指學生寫的作爲課程作業的）短文;論說文;小品文，散文,noun,For homework I want you to write an essay on endangered species.,我想讓你們寫一篇關於瀕危物種的文章作爲作業。,/ˈeseɪ/,/ˈeseɪ/
essential,必要的，必不可少的,adjective,Government support will be essential if the project is to succeed.,這個企劃案能否成功，政府的支援至關重要。,/ɪˈsenʃl/,/ɪˈsenʃl/
essentially,本質上；根本上；基本上,adverb,It's essentially a dictionary but it differs in one or two respects.,本質上說這還是一本字典，但在一兩個方面上它又不同於一般字典。,/ɪˈsenʃəli/,/ɪˈsenʃəli/
establish,建立;設立;創立,verb,The brewery was established in 1822.,這家啤酒廠建於1822年。,/ɪˈstæblɪʃ/,/ɪˈstæblɪʃ/
estate,（位於鄉村的）大片私有土地，莊園，種植園,noun,"It's a typical country estate with a large house for the owner, farm buildings, and estate workers' houses.",這是一個典型的鄉村莊園，建有主人的大宅子、許多農舍以及莊園工人的住處。,/ɪˈsteɪt/,/ɪˈsteɪt/
estimate,估計;估算;估價,verb,Government sources estimate a long-term 50 percent increase in rail fares.,政府消息人士估計火車票價將有一個漲幅達50%的長期調漲。,/ˈestɪmeɪt/,/ˈestɪmeɪt/
etc.,以及諸如此類；以及其他；等等（et cetera的縮寫）,idiom,"We saw lots of lions, tigers, elephants, etc.",我們看到了很多獅子、老虎、大象等動物。,/ˌet ˈsetərə/,/ˌɪt ˈsetərə/
euro,歐元,noun,You can usually find a hotel for €70 a night.,你通常能找到70歐元住一晚的旅館房間。,/ˈjʊərəʊ/,/ˈjʊrəʊ/
even,（用來表示令人驚訝、不同尋常、出乎意料或極端的事物）甚至，連，即使,adverb,I don't even know where it is.,我甚至連它在哪裡都不知道。,/ˈiːvn/,/ˈiːvn/
evening,傍晚;晚上,noun,a chilly evening,寒冷的夜晚,/ˈiːvnɪŋ/,/ˈiːvnɪŋ/
event,（尤指重大或不尋常的）事情，事件,noun,This year's Olympic Games will be the biggest ever sporting event.,今年的奧林匹克運動會將是歷史上規模最大的體育盛事。,/ɪˈvent/,/ɪˈvent/
eventually,最終，終於,adverb,"Although she had been ill for a long time, it still came as a shock when she eventually died.",雖然她已病了好長時間，但當她最後去世時，我們仍然感到非常震驚。,/ɪˈventʃuəli/,/ɪˈventʃuəli/
ever,在任何時候;從來,adverb,Nothing ever happens here in the evening.,這兒晚上從來沒發生過甚麽事兒。,/ˈevə(r)/,/ˈevər/
every,（三個或三個以上的人或事物組成的群體中的）每一個，每個；全部，整體,determiner,The police want to interview every employee about the theft.,警方想就竊盜案件與每位員工面談。,/ˈevri/,/ˈevri/
everyone,每個人，人人;所有人,pronoun,Would everyone who wishes to attend the dinner let me know by Friday afternoon?,想去參加晚宴的人，請在星期五下午前通知我好嗎？,/ˈevriwʌn/,/ˈevriwʌn/
everything,每件事;所有事物;一切,pronoun,You can't blame him for everything.,你不能甚麼事都怪他。,/ˈevriθɪŋ/,/ˈevriθɪŋ/
everywhere,各個地方，處處，各處,adverb,His children go everywhere with him.,他去哪裡，他的孩子就跟到哪裡。,/ˈevriweə(r)/,/ˈevriwer/
evidence,證據；證明,noun,The police have found no evidence of a terrorist link with the murder.,警方沒有發現任何證據證明這宗謀殺案和恐怖分子有關。,/ˈevɪdəns/,/ˈevɪdəns/
evil,道德敗壞的;邪惡的，惡毒的;討厭的,adjective,an evil dictator,邪惡的獨裁者,/ˈiːvl/,/ˈiːvɪl/
ex-,前妻;前夫;前女友;前男友,noun,Is she still in touch with her ex?,她和她的前夫還保持聯絡嗎？,,
exact,精確的；確切的；正確的,adjective,The exact distance is 1.838 metres.,精確距離是1.838公尺。,/ɪɡˈzækt/,/ɪɡˈzækt/
exactly,精確地；確切地；完全準確地,adverb,The journey took exactly three hours.,剛好是三個小時的路程。,/ɪɡˈzæktli/,/ɪɡˈzæktli/
exaggerate,誇張;誇大;對…言過其實,verb,The threat of attack has been greatly exaggerated.,遭受襲擊的威脅被過分誇大了。,/ɪɡˈzædʒəreɪt/,/ɪɡˈzædʒəreɪt/
exaggerated,誇張的,adjective,exaggerated reports of the problem,問題的誇大報道,/ɪɡˈzædʒəreɪtɪd/,/ɪɡˈzædʒəreɪtɪd/
exam,考試,noun,American students ranked fourth in those taking the geography exam. ,美國學生在參加地理考試的學生中名列第四。,/ɪɡˈzæm/,/ɪɡˈzæm/
examination,檢查;審查;調查,noun,a post-mortem examination,驗屍,/ɪɡˌzæmɪˈneɪʃn/,/ɪɡˌzæmɪˈneɪʃn/
examine,（仔細地）檢查，審查，調查,verb,Forensic scientists are examining the wreckage for clues about the cause of the explosion.,法醫科學家正在對殘骸進行檢查，希望能發現與爆炸原因有關的線索。,/ɪɡˈzæmɪn/,/ɪɡˈzæmɪn/
example,典型；範例；實例,noun,Could you give me an example of the improvements you have mentioned?,你可不可以舉個例子說明一下你剛剛提到的那些進展情況？,/ɪɡˈzɑːmpl/,/ɪɡˈzæmpl/
excellent,卓越的；優秀的；傑出的；極好的,adjective,The food was excellent.,這食物非常美味。,/ˈeksələnt/,/ˈeksələnt/
except,（表示不包括）除…之外,preposition,The museum is open daily except Monday(s).,博物館除了星期一之外每日都開放。,/ɪkˈsept/,/ɪkˈsept/
exception,除外的人；例外的事物,noun,Men are usually quite good at map-reading but Tim is the exception.,通常男性都很會看地圖，但提姆卻是例外的。,/ɪkˈsepʃn/,/ɪkˈsepʃn/
exchange,交換;互換;交流,noun,an exchange of ideas/information,思想／資訊交流,/ɪksˈtʃeɪndʒ/,/ɪksˈtʃeɪndʒ/
excite,激發（情感）；使激動；使興奮,verb,Nothing about my life excites me at present.,我目前的生活就好像一潭死水。,/ɪkˈsaɪt/,/ɪkˈsaɪt/
excited,興奮的；激動的,adjective,An excited crowd waited for the singer to arrive.,一群人懷著激動的心情等待歌星到來。,/ɪkˈsaɪtɪd/,/ɪkˈsaɪtɪd/
excitement,激動，興奮；令人興奮的事情,noun,Robin's heart was pounding with excitement.,羅賓的心激動得怦怦跳。,/ɪkˈsaɪtmənt/,/ɪkˈsaɪtmənt/
exciting,令人興奮的;使人激動的;刺激的,adjective,an exciting movie/soundtrack,扣人心弦的電影／電影配樂,/ɪkˈsaɪtɪŋ/,/ɪkˈsaɪtɪŋ/
exclude,阻止…進入；把…排斥在外,verb,Women are still excluded from the club.,這間俱樂部仍然不讓女性進入。,/ɪkˈskluːd/,/ɪkˈskluːd/
excluding,不包括；除去,preposition,The aircraft carries 461 people excluding the crew and cabin staff.,除了機組和客艙服務人員外，這架客機可以載461人。,/ɪkˈskluːdɪŋ/,/ɪkˈskluːdɪŋ/
excuse,原諒;寬恕,verb,Please excuse me for arriving late - the bus was delayed.,我來遲了，請原諒——因為公車延誤了。,/ɪkˈskjuːs/,/ɪkˈskjuːs/
executive,（尤指商業機構中的）行政主管，經理,noun,"She is now a senior executive, having worked her way up through the company.",她現在是高級行政主管，這是她在公司中一步一腳印走上來的。,/ɪɡˈzekjətɪv/,/ɪɡˈzekjətɪv/
exercise,體育活動;鍛鍊;運動,noun,Swimming is my favourite form of exercise.,我最喜歡的運動是游泳。,/ˈeksəsaɪz/,/ˈeksərsaɪz/
exhibit,展出，展覽；展示,verb,He frequently exhibits at the art gallery.,他經常在藝廊展出作品。,/ɪɡˈzɪbɪt/,/ɪɡˈzɪbɪt/
exhibition,展覽（會）；表現，顯示,noun,The photographs will be on exhibition until the end of the month.,這些照片將一直展出到月底。,/ˌeksɪˈbɪʃn/,/ˌeksɪˈbɪʃn/
exist,存在；實際上有,verb,I don't think ghosts exist.,我認為鬼是不存在的。,/ɪɡˈzɪst/,/ɪɡˈzɪst/
existence,存在；實有,noun,Many people question the existence of God.,很多人懷疑上帝是否真的存在。,/ɪɡˈzɪstəns/,/ɪɡˈzɪstəns/
exit,（建築物或大型交通工具的）出口，安全門;（尤指演員）退場,noun,We headed for the nearest exit.,消防出口,/ˈeksɪt/,/ˈeɡzɪt/
expand,（使）（尺寸、數量或重要性）擴大，增加；（使）膨脹,verb,The air in the balloon expands when heated.,氣球裡的空氣受熱後膨脹。,/ɪkˈspænd/,/ɪkˈspænd/
expect,預料，預計;期待,verb,We are expecting a lot of applicants for the job.,我們預計會有很多人來應徵這份工作。,/ɪkˈspekt/,/ɪkˈspekt/
expectation,期盼;盼望;希望,noun,The holiday lived up to all our expectations (= was as good as we were expecting).,假期過得一點也沒有令我們失望。,/ˌekspekˈteɪʃn/,/ˌekspekˈteɪʃn/
expected,意料之中的;預期的,adjective,The expected counterattack never happened.,預期的反擊從未發生。,/ɪkˈspektɪd/,/ɪkˈspektɪd/
expense,花錢;支付;耗費,noun,Buying a bigger car has proved to be well worth the expense.,事實證明，買輛大一點的車還是值得的。,/ɪkˈspens/,/ɪkˈspens/
expensive,昂貴的；用錢多的；價格高的,adjective,Rolls Royces are very expensive.,勞斯萊斯汽車價格昂貴。,/ɪkˈspensɪv/,/ɪkˈspensɪv/
experience,經驗;經歷;實踐,noun,Do you have any experience of working with kids? (= Have you ever worked with them?),你有照顧小孩的工作經驗嗎？,/ɪkˈspɪəriəns/,/ɪkˈspɪriəns/
experienced,經驗豐富的;有閱歷的;有見識的,adjective,an experienced teacher,經驗豐富的老師,/ɪkˈspɪəriənst/,/ɪkˈspɪriənst/
experiment,實驗；試驗；試用,noun,Some people believe that experiments on animals should be banned.,有些人認為應該禁止拿動物做實驗。,/ɪkˈsperɪmənt/,/ɪkˈsperɪmənt/
expert,專家;內行;行家,noun,a gardening/medical expert,園藝／醫學專家,/ˈekspɜːt/,/ˈekspɜːrt/
explain,解釋;說明;闡明,verb,"If there's anything you don't understand, I'll be happy to explain.",如果你有甚麼不明白的地方，我很樂意為你講解。,/ɪkˈspleɪn/,/ɪkˈspleɪn/
explanation,解釋；說明；給出的原因,noun,Could you give me a quick explanation of how it works?,你可以向我簡要說明一下它的運作原理嗎？,/ˌekspləˈneɪʃn/,/ˌekspləˈneɪʃn/
