Word,中文,詞性,例句,中文說明,EN,US
village,村莊;村子,noun,a fishing village,漁村,/ˈvɪlɪdʒ/,/ˈvɪlɪdʒ/
violence,暴力行為;激烈的言辭,noun,It seems that the attack was a gratuitous/random/mindless act of violence.,看起來這次襲擊是一起無端／盲目／肆意的暴力行為。,/ˈvaɪələns/,/ˈvaɪələns/
violent,使用暴力的;強暴的,adjective,He yells a lot but I don't think he's ever been physically violent towards her.,他常大吼大叫，但我認為他不曾對她使用暴力。,/ˈvaɪələnt/,/ˈvaɪələnt/
violently,暴力地，狂暴地,adverb,He claimed to have been violently assaulted while in detention.,他宣稱在拘留期間曾遭到暴力毆打。,/ˈvaɪələntli/,/ˈvaɪələntli/
virtually,幾乎；實際上；實質上,adverb,Their twins are virtually identical.,他們的雙胞胎長得幾乎一模一樣。,/ˈvɜːtʃuəli/,/ˈvɜːrtʃuəli/
virus,病毒,noun,the chickenpox/flu/herpes/mumps virus,水痘／流行性感冒／皰疹／流行性腮腺炎病毒,/ˈvaɪrəs/,/ˈvaɪrəs/
visible,可以看見的;可視的,adjective,You should wear something light-coloured when you're cycling at night so that you're more visible.,夜裡騎腳踏車的時候你應該穿淺色的衣服，這樣就會更加顯眼。,/ˈvɪzəbl/,/ˈvɪzəbl/
vision,幻景;幻像,noun,"We see in his novels his sinister, almost apocalyptic, vision of the future.",在他的小說中，我們看到他預見的未來是凶險的，一幅近乎世界末日般的景象。,/ˈvɪʒn/,/ˈvɪʒn/
visit,參觀;遊覽;拜訪;作客,verb,We visited a few galleries while we were in Prague.,我們在布拉格時參觀了幾家畫廊。,/ˈvɪzɪt/,/ˈvɪzɪt/
visitor,訪問者;參觀者;遊客,noun,You have some visitors to see you.,有人來看你了。,/ˈvɪzɪtə(r)/,/ˈvɪzɪtər/
vital,必不可少的；極其重要的,adjective,A strong opposition is vital to a healthy democracy.,有一個強大的反對黨對於健康的民主制度來說非常重要。,/ˈvaɪtl/,/ˈvaɪtl/
vocabulary,詞彙量;（某人掌握的）全部詞彙,noun,a wide/limited vocabulary,詞彙量很大／有限,/vəˈkæbjələri/,/vəˈkæbjəleri/
voice,說話聲;嗓音,noun,She has a loud/quiet/soft voice.,她說話聲音很大／很輕／很柔。,/vɔɪs/,/vɔɪs/
volume,容積；體積；容量,noun,Which of these bottles do you think has a greater volume?,你認為這些瓶子中哪個容積最大？,/ˈvɒljuːm/,/ˈvɑːljəm/
vote,投票;選舉;（對…）進行表決,verb,She was too young to vote in the election.,她的年齡太小，不能在選舉中投票。,/vəʊt/,/vəʊt/
