Word,中文,詞性,例句,中文說明,EN,US
pay out,（為…）付出大筆錢，（向…）支付大筆資金,phrasal verb,I've just paid out $500 on getting the car fixed.,我剛剛花了500美元的高價修理那輛車。,,
pay up,（尤指不情願地）付清欠款，償還欠款,phrasal verb,"Eventually they paid up, but only after receiving several reminders.",最終他們還清了欠款，但那是在他們再三收到提示信以後的事。,,
peace,和平;太平,noun,peace talks/proposals,和平會談／提議,/piːs/,/piːs/
peaceful,和平的,adjective,peaceful demonstrators,和平示威者,/ˈpiːsfl/,/ˈpiːsfl/
peak,最高點，高峰,noun,Prices reach a peak during August.,八月份價格達到高峰。,/piːk/,/piːk/
pen,（用墨水的）筆,noun,a fountain/ballpoint/felt-tip pen,自來水／原子／簽字筆,/pen/,/pen/
pencil,鉛筆,noun,a box of coloured pencils,一盒彩色鉛筆,/ˈpensl/,/ˈpensl/
penny,（英國）便士（最小的貨幣單位，100便士為1英鎊，表示幣值時用 pence 或在非正式場合也可用 p，而表示硬幣本身時用 pennies）,noun,Could you lend me 50 pence/50p please?,你能借50便士給我嗎？,/ˈpeni/,/ˈpeni/
people,人,noun,Many people never do any exercise.,許多人從來不做任何運動。,/ˈpiːpl/,/ˈpiːpl/
pepper,胡椒粉,noun,freshly ground black pepper,現磨的黑胡椒粉,/ˈpepə(r)/,/ˈpepər/
per,每，每一,preposition,The meal will cost $20 per person.,這頓飯每人要花20美元。,/pə(r)/,/pɜː(r)/
per cent,陽性百分比（即某一疾病的所有測試結果呈陽性的數量，以百分比表示）,noun,A high percent positive means that more testing should probably be done.,陽性百分比高意味著可能應該做更多的測試。,,
perfect,完美的，完滿的，無瑕的,adjective,a perfect day,美好的一天,/ˈpɜːfɪkt/,/ˈpɜːrfɪkt/
perfectly,完美地，圓滿地,adverb,"The jacket fits perfectly, the skirt not so well.",這件短上衣非常合身，裙子卻不太合身。,/ˈpɜːfɪktli/,/ˈpɜːrfɪktli/
perform,做，進行；施行,verb,Computers can perform a variety of tasks.,電腦能執行多項工作。,/pəˈfɔːm/,/pərˈfɔːrm/
performance,工作情況；業績；表現；工作性能,noun,He was an experienced player who was always seeking to improve his performance.,他是一名有經驗的選手，不斷尋求提高自己的技能。,/pəˈfɔːməns/,/pərˈfɔːrməns/
performer,表演者;演出者;演員,noun,He's a brilliant performer.,他是個出色的演員。,/pəˈfɔːmə(r)/,/pərˈfɔːrmər/
perhaps,或許，可能,adverb,He hasn't written to me recently - perhaps he's lost my address.,他最近沒寫信給我——也許他把我的地址弄丟了。,/pəˈhæps/,/præps/
period,一段時間，時期,noun,Her work means that she spends long periods away from home.,她的工作意味著她須長時間離家在外。,/ˈpɪəriəd/,/ˈpɪriəd/
permanent,長久的;永久的，永恆的,adjective,She is looking for a permanent place to stay.,她正在尋找一個固定的住所。,/ˈpɜːmənənt/,/ˈpɜːrmənənt/
permanently,總是;持久地;永久地,adverb,Smoking is likely to damage your health permanently.,吸煙可能會永久損害你的健康。,/ˈpɜːmənəntli/,/ˈpɜːrmənəntli/
permission,允許，許可，准許,noun,You will need permission from your parents to go on the trip.,你要得到你父母的許可才能參加這趟旅行。,/pəˈmɪʃn/,/pərˈmɪʃn/
permit,允許，准許,verb,The regulations do not permit much flexibility.,這些規章不允許有太大的彈性空間。,/pəˈmɪt/,/pərˈmɪt/
person,人,noun,Who was the first person to swim the English Channel?,游過英吉利海峽的第一人是誰？,/ˈpɜːsn/,/ˈpɜːrsn/
personal,個人的，私人的,adjective,My personal opinion/view is that the students should be doing more work outside the classroom.,我個人認為學生應該多做一些課外作業。,/ˈpɜːsənl/,/ˈpɜːrsənl/
personality,個性，性格；人格,noun,She has a very warm personality.,她個性非常熱情。,/ˌpɜːsəˈnæləti/,/ˌpɜːrsəˈnæləti/
personally,就個人而言；就本人而言,adverb,"Personally (speaking), I think the show is going to be a great success.",在我個人看來，演出會獲得巨大成功。,/ˈpɜːsənəli/,/ˈpɜːrsənəli/
persuade,勸服;說服,verb,"If she doesn't want to go, nothing you can say will persuade her.",如果她不想去，你是說甚麼也勸不動她的。,/pəˈsweɪd/,/pərˈsweɪd/
pet,寵物,noun,"They have several pets - a dog, two rabbits, and a guinea pig.",他們有好幾隻寵物：一隻狗、兩隻兔子和一隻天竺鼠。,/pet/,/pet/
petrol,汽油,noun,a petrol tank/pump/station,油箱／油泵／加油站,/ˈpetrəl/,/ˈpetrəl/
phase,（發展或變化的）階段，時期,noun,"The project is only in its initial phase as yet, but it's looking quite promising.",該專案計劃目前才剛起步，但看起來大有可為。,/feɪz/,/feɪz/
philosophy,哲學,noun,René Descartes is regarded as the founder of modern philosophy.,勒奈‧笛卡爾被視為現代哲學的奠基人。,/fəˈlɒsəfi/,/fəˈlɑːsəfi/
phone,電話,noun,"Just then, his phone rang.",就在那時，他的電話響了。,/fəʊn/,/fəʊn/
photo,照片，相片,noun,She took lots of photos of the kids.,她拍了很多孩子的照片。,/ˈfəʊtəʊ/,/ˈfəʊtəʊ/
photocopy,影印本，影本,noun,I'll just make a photocopy of the agreement.,我只是要把這份協議影印一份。,/ˈfəʊtəʊkɒpi/,/ˈfəʊtəʊkɑːpi/
photograph,照片，相片,noun,a colour/black-and-white photograph,彩色／黑白照片,/ˈfəʊtəɡrɑːf/,/ˈfəʊtəɡræf/
photographer,攝影者;攝影師,noun,a fashion/press/amateur photographer,時裝／新聞／業餘攝影師,/fəˈtɒɡrəfə(r)/,/fəˈtɑːɡrəfər/
photography,攝影;攝影業;照片,noun,She's taking an evening class in photography.,她在夜校學攝影。,/fəˈtɒɡrəfi/,/fəˈtɑːɡrəfi/
phrase,片語,noun,"We are governed, in Lord Hailsham's famous phrase, by an ""elective dictatorship"".",引用一下海爾什勳爵的名言，我們被「選舉出來的獨裁者」統治著。,/freɪz/,/freɪz/
physical,身體的，肉體的,adjective,physical exercise/fitness/strength/disabilities,體育運動／身體健康／體力／身體殘障,/ˈfɪzɪkl/,/ˈfɪzɪkl/
physically,肉體地，身體上地,adverb,Physically I find him very attractive.,我覺得他的相貌很迷人。,/ˈfɪzɪkli/,/ˈfɪzɪkli/
physics,物理學,noun,nuclear physics,核子物理學,/ˈfɪzɪks/,/ˈfɪzɪks/
piano,鋼琴,noun,We're buying a new piano.,我們準備買一架新鋼琴。,/piˈænəʊ/,/piˈænəʊ/
pick,挑選;選擇,verb,Pick a card from the pack.,從這副紙牌中挑出一張。,/pɪk/,/pɪk/
pick up,興奮飲料;興奮劑,noun,It is traditional around here to drink brandy with coffee as a morning pick-me-up.,在這個地方，白蘭地和咖啡混在一起是一種早上飲用的傳統提神飲料。,,
picture,畫，圖畫;照片,noun,Freddy drew/painted a picture of my dog.,弗雷迪畫了一幅我的狗的畫像。,/ˈpɪktʃə(r)/,/ˈpɪktʃər/
piece,塊;片;段;碎片;碎塊,noun,a piece of cloth torn from her coat,從她大衣上撕下的一塊布,/piːs/,/piːs/
pig,豬,noun,"The meat produced from a pig is called pork, bacon, or ham.",豬提供的肉類食品包括鮮豬肉、熏鹹肉和火腿。,/pɪɡ/,/pɪɡ/
pile,疊;垛;堆,noun,a pile of books,一疊書,/paɪl/,/paɪl/
pile up,成為一堆;把…堆積起來,phrasal verb,Unpaid bills began to pile up alarmingly.,未支付的帳單越積越多，數目驚人。,,
pill,藥丸;藥片,noun,a sleeping pill,安眠藥,/pɪl/,/pɪl/
pilot,飛行員,noun,a fighter/helicopter/bomber/airline pilot,戰鬥機／直升機／轟炸機／客機駕駛員,/ˈpaɪlət/,/ˈpaɪlət/
pin,（尤指用於固定布料用的）別針，大頭針,noun,I'll keep the trouser patch in place with pins while I sew it on.,在把褲子的補丁縫上去時，我會用別針把它固定好。,/pɪn/,/pɪn/
pink,粉紅色的,adjective,pretty pink flowers,美麗的粉色花朵,/pɪŋk/,/pɪŋk/
pint,品脫（液量單位，約等於半升）,noun,a pint of milk,一品脫牛奶,/paɪnt/,/paɪnt/
pipe,管;管子;管道,noun,a water/gas/sewer pipe,供水管道／煤氣管道／污水管,/paɪp/,/paɪp/
pitch,運動場地;（尤指）足球場,noun,a football/hockey/cricket pitch,足球／曲棍球／板球場,/pɪtʃ/,/pɪtʃ/
pity,同情，憐憫,noun,The girl stood gazing in/with pity at the old lion in the cage.,女孩站在那裡，同情地盯著籠裡的老獅子。,/ˈpɪti/,/ˈpɪti/
place,地方；場所,noun,Her garden was a cool pleasant place to sit.,坐在她的花園裡真是涼爽宜人。,/pleɪs/,/pleɪs/
plain,樸素的；不加修飾的；簡單的,adjective,She wore a plain black dress.,她穿著一件樸素的黑色連身裙。,/pleɪn/,/pleɪn/
plan,計劃，方案,noun,a company's business plan,公司的商業計劃,/plæn/,/plæn/
plane,飛機,noun,a fighter/transport/passenger plane,戰鬥機／運輸機／客機,/pleɪn/,/pleɪn/
planet,行星,noun,the planet Earth/Venus,地球／金星,/ˈplænɪt/,/ˈplænɪt/
planning,策劃，規劃,noun,Events like these take months of careful planning.,這樣的活動需要數月的精心策劃。,/ˈplænɪŋ/,/ˈplænɪŋ/
plant,植物,noun,native plants and animals,原產於當地的動植物,/plɑːnt/,/plænt/
plastic,塑膠,noun,He put a sheet of plastic over the broken window.,他在打破的窗戶上蓋了一塊塑膠片。,/ˈplæstɪk/,/ˈplæstɪk/
plate,盤子，碟子,noun,paper/plastic/china plates,紙／塑膠／瓷碟,/pleɪt/,/pleɪt/
platform,平臺,noun,The next train for Aberdeen will depart from platform 9.,下一趟去亞伯丁的火車將從9號月臺開出。,/ˈplætfɔːm/,/ˈplætfɔːrm/
play,（尤指兒童）玩，玩耍,verb,The children spent the afternoon playing with their new toys.,孩子們下午在玩自己的新玩具。,/pleɪ/,/pleɪ/
play about,亂搞，瞎鬧,phrasal verb,Stop playing around and get on with your homework!,別瞎鬧了，趕緊做你的功課吧！,,
player,運動員;遊戲者,noun,Each player takes three cards.,每個打牌者拿三張牌。,/ˈpleɪə(r)/,/ˈpleɪər/
play with,考慮（想法或計劃）,phrasal verb,Patricia and I were playing (around) with the idea/possibility of moving to Glasgow.,派翠夏和我正在考慮／是否有可能搬到格拉斯哥去。,,
pleasant,令人愉快的;宜人的;親切友好的,adjective,a pleasant climate/smile/person,宜人的氣候／親切的笑容／和氣可愛的人,/ˈpleznt/,/ˈpleznt/
pleasantly,令人愉快地;宜人地;親切友好地,adverb,They treated me pleasantly enough.,他們對待我的態度足夠親切友好。,/ˈplezntli/,/ˈplezntli/
please,好嗎，請（用於客氣地請求）,exclamation,"Could I have two coffees and a tea, please?",給我來兩杯咖啡、一杯茶好嗎？,/pliːz/,/pliːz/
pleased,開心的;滿意的,adjective,a pleased expression/smile,開心的表情／微笑,/pliːzd/,/pliːzd/
pleasing,令人高興的;令人滿意的,adjective,a pleasing performance,賞心悅目的表演,/ˈpliːzɪŋ/,/ˈpliːzɪŋ/
pleasure,愉快，歡樂;滿意;欣慰;樂事,noun,His visits gave his grandparents such pleasure.,他來探望爺爺奶奶，這讓他們非常開心。,/ˈpleʒə(r)/,/ˈpleʒər/
plenty,豐富，充足，大量,pronoun,"""Would you like some more wine?"" ""No thanks, I've had plenty.""",「還想要點酒嗎？」「不，謝謝，已經足夠了。」,/ˈplenti/,/ˈplenti/
plot,情節,noun,The movie has a very simple plot.,這部電影情節很簡單。,/plɒt/,/plɑːt/
plug,插頭,noun,a three-pin/two-pin plug,三腳／兩腳插頭,/plʌɡ/,/plʌɡ/
plug in,（電腦程式的）外掛程式,noun,The plug-in lets users quickly search their e-mail inboxes and connect with contacts.,,,
p.m.,下午,noun,We'll be arriving at about 4.30 p.m. ,我們下午4：30左右到。,,
pocket,衣袋，口袋,noun,a jacket/trouser/coat pocket,夾克／褲子／外衣口袋,/ˈpɒkɪt/,/ˈpɑːkɪt/
poem,詩,noun,a book of love poems,愛情詩集,/ˈpəʊɪm/,/ˈpəʊəm/
poetry,（總稱）詩，詩歌,noun,contemporary poetry and prose,當代詩歌散文,/ˈpəʊətri/,/ˈpəʊətri/
point,觀點;論點,noun,I'd like to discuss the first point in your essay.,我想討論一下你文章中的第一點。,/pɔɪnt/,/pɔɪnt/
pointed,尖的，尖角的,adjective,He's got funny little pointed ears.,他長著一對尖尖的小耳朵，很滑稽。,/ˈpɔɪntɪd/,/ˈpɔɪntɪd/
point out,指明，指出,phrasal verb,"If you see her, please point her out to me.",如果你看到她，請指給我看。,,
poison,毒;毒藥，毒物,noun,The pest control officer put bowls of rat poison in the attic.,蟲害防治官員在閣樓裡放了幾碗老鼠藥。,/ˈpɔɪzn/,/ˈpɔɪzn/
poisonous,有毒的，有害的,adjective,poisonous chemicals,有毒化學物質,/ˈpɔɪzənəs/,/ˈpɔɪzənəs/
pole,杆，柱,noun,a telegraph/electricity pole,電線杆,/pəʊl/,/pəʊl/
police,警察當局，警方,noun,I think you should call the police.,我認為你應該報警。,/pəˈliːs/,/pəˈliːs/
policy,政策，方針，策略,noun,They believe that Europe needs a common foreign and security policy.,他們認為歐洲需要採取共同的外交和安全政策。,/ˈpɒləsi/,/ˈpɑːləsi/
polish,擦，擦亮，磨光,verb,to polish the furniture,擦傢俱,/ˈpɒlɪʃ/,/ˈpɑːlɪʃ/
polite,有禮貌的,adjective,I'm afraid I wasn't very polite to her.,恐怕那時我對她有點不禮貌。,/pəˈlaɪt/,/pəˈlaɪt/
politely,有禮貌地,adverb,He told them politely to leave him in peace.,他禮貌地請他們讓他一個人靜靜地獨處。,/pəˈlaɪtli/,/pəˈlaɪtli/
political,政治的,adjective,political leaders,政治領袖,/pəˈlɪtɪkl/,/pəˈlɪtɪkl/
politically,政治上的,adverb,His mother was very politically active.,他的母親在政治上非常活躍。,/pəˈlɪtɪkli/,/pəˈlɪtɪkli/
politician,從政者，政治家，政客,noun,a distinguished/disgraced politician,著名／失勢的政治家,/ˌpɒləˈtɪʃn/,/ˌpɑːləˈtɪʃn/
politics,政治;政治活動,noun,Joe is very active in left-wing politics.,喬在左翼政治中很活躍。,/ˈpɒlətɪks/,/ˈpɑːlətɪks/
pollution,污染,noun,air/water pollution,空氣／水污染,/pəˈluːʃn/,/pəˈluːʃn/
pool,水塘，水池，潭,noun,We looked for crabs in the rock pools along the seashore.,我們在海邊岩石的水坑裡找螃蟹。,/puːl/,/puːl/
poor,貧窮的，窮困的;拮据的,adjective,Most of the world's poorest countries are in Africa.,世界上最窮的國家多數在非洲。,/pɔː(r)/,/pʊə(r)/
pop,流行音樂,noun,pop music,流行音樂,/pɒp/,/pɑːp/
popular,受大眾喜愛的，受歡迎的,adjective,She's the most popular teacher in school.,她是學校裡最受歡迎的老師。,/ˈpɒpjələ(r)/,/ˈpɑːpjələr/
population,人口;全體居民,noun,Ten percent of the population lived in poverty.,10%的人口生活在貧困之中。,/ˌpɒpjuˈleɪʃn/,/ˌpɑːpjuˈleɪʃn/
port,港市；港,noun,a naval/fishing/container port,軍港／漁港／貨櫃港,/pɔːt/,/pɔːrt/
pose,造成，引起（尤指問題或困難）,verb,Nuclear weapons pose a threat to everyone.,核子武器對所有人都構成了威脅。,/pəʊz/,/pəʊz/
position,位置，方位，地點,noun,"Well, I've found our position on the map if you want to see where we are.",好啦，如果你想知道我們現在所在位置的話，我已經在地圖上找到了。,/pəˈzɪʃn/,/pəˈzɪʃn/
positive,建設性的;積極的;懷有希望的,adjective,a positive attitude,樂觀的態度,/ˈpɒzətɪv/,/ˈpɑːzətɪv/
possess,擁有；具有,verb,I don't possess a single DVD (= I don't have even one DVD).,我一張DVD光碟都沒有。,/pəˈzes/,/pəˈzes/
possession,擁有，佔有；具有,noun,The possession of large amounts of money does not ensure happiness.,擁有大量金錢並不能保證一定會幸福。,/pəˈzeʃn/,/pəˈzeʃn/
possibility,可能（性）,noun,It's not likely to happen but I wouldn't rule out the possibility.,這件事不太可能發生，但我不會排除有這種可能性。,/ˌpɒsəˈbɪləti/,/ˌpɑːsəˈbɪləti/
possible,可能的，有可能做到的,adjective,I can't get it all done by Friday - it's just not possible.,我星期五前無法全部完成——是不可能的。,/ˈpɒsəbl/,/ˈpɑːsəbl/
possibly,可能地,adverb,"He may possibly decide not to come, in which case there's no problem.",他可能會決定不來，這樣就沒問題了。,/ˈpɒsəbli/,/ˈpɑːsəbli/
post,郵件,noun,I'd been away for a few days so I had a lot of post waiting for me.,我離開了幾天，所以有好多信件等著我處理。,/pəʊst/,/pəʊst/
post office,郵局,noun,,,,
pot,罐，壺,noun,Fill a large pot with salted water and bring it to the boil.,用一個大壺裝滿鹽水並煮開。,/pɒt/,/pɑːt/
potato,馬鈴薯,noun,boiled/roasted/fried potatoes,煮／烤／炸馬鈴薯,/pəˈteɪtəʊ/,/pəˈteɪtəʊ/
potential,潛在的，可能的,adjective,A number of potential buyers have expressed interest in the company.,一些潛在的買主表達了對該公司的興趣。,/pəˈtenʃl/,/pəˈtenʃl/
potentially,潛在地；可能地,adverb,Hepatitis is a potentially fatal disease.,肝炎是可能致命的疾病。,/pəˈtenʃəli/,/pəˈtenʃəli/
pound,鎊（英國等國家的貨幣單位）,noun,a one-pound/two-pound coin,一英鎊／兩英鎊的硬幣,/paʊnd/,/paʊnd/
pour,倒，注，灌,verb,I spilled the juice while I was pouring it.,我倒果汁時不小心弄灑了。,/pɔː(r)/,/pɔːr/
powder,粉，粉末,noun,curry/chilli powder,咖哩／辣椒粉,/ˈpaʊdə(r)/,/ˈpaʊdər/
power,影響力；操控力；勢力,noun,I've no power over him - he does what he wants to.,我管不了他——他想做甚麼就做甚麼。,/ˈpaʊə(r)/,/ˈpaʊər/
powerful,有權力的；有力量的；強大的,adjective,The president is more powerful than the prime minister.,總統比總理權力更大。,/ˈpaʊəfl/,/ˈpaʊərfl/
practical,實際的;實做的;有實際經驗的,adjective,Qualifications are important but practical experience is always a plus.,資歷固然重要，但實際經驗總是個優勢。,/ˈpræktɪkl/,/ˈpræktɪkl/
practically,幾乎，差不多,adverb,She blamed me for practically every mistake in the report.,她幾乎把報告裡所有的錯誤都怪在我頭上。,/ˈpræktɪkli/,/ˈpræktɪkli/
practice,實施，實踐,noun,"How do you intend to put these proposals into practice, Mohamed?",穆罕默德，你打算如何把這些計劃付諸實行？,/ˈpræktɪs/,/ˈpræktɪs/
practise,練習,verb,I'm quite good at tennis but I need to practise my serve.,我網球打得不錯，不過我需要練習發球。,/ˈpræktɪs/,/ˈpræktɪs/
praise,讚揚，表揚,verb,He should be praised for his honesty.,他應該因為誠實而獲得表揚。,/preɪz/,/preɪz/
pray,禱告，祈禱,verb,She knelt and prayed silently.,她跪下默默祈禱。,/preɪ/,/preɪ/
prayer,禱文，禱詞,noun,a prayer of thanks,表示感謝的禱文,/preə(r)/,/prer/
precise,精確的；準確的，確切的,adjective,The bunker's precise location is a closely guarded secret.,掩體的確切位置嚴格保密。,/prɪˈsaɪs/,/prɪˈsaɪs/
precisely,精確地，準確地，確切地,adverb,The fireworks begin at eight o'clock precisely.,煙火在八點整開始燃放。,/prɪˈsaɪsli/,/prɪˈsaɪsli/
predict,預言;預料，預計,verb,It's still not possible to accurately predict the occurrence of earthquakes.,現在仍無法準確預報地震的發生。,/prɪˈdɪkt/,/prɪˈdɪkt/
prefer,寧可，更喜愛;覺得還是…更可取,verb,Do you prefer hot or cold weather?,你喜歡熱天還是冷天？,/prɪˈfɜː(r)/,/prɪˈfɜːr/
preference,偏愛;愛好;喜愛,noun,Her preference is for comfortable rather than stylish clothes.,她更注重衣服的舒適性，而非時髦的款式。,/ˈprefrəns/,/ˈprefrəns/
pregnant,懷孕的，妊娠的,adjective,She's five and a half months pregnant.,她懷孕有五個半月了。,/ˈpreɡnənt/,/ˈpreɡnənt/
premises,（尤指公司或機構的）房屋連同地基，生產場所，經營廠址，廠區,noun,The company is relocating to new premises.,該公司要搬到新廠址去。,/ˈpremɪsɪz/,/ˈpremɪsɪz/
preparation,準備工作;準備，預備,noun,The teacher didn't seem to have done much preparation for the class.,看來這位教師這堂課準備得不是太充分。,/ˌprepəˈreɪʃn/,/ˌprepəˈreɪʃn/
prepare,準備，預備;把…準備好，使預備好,verb,Have you prepared for your interview?,你作好面試的準備了嗎？,/prɪˈpeə(r)/,/prɪˈper/
prepared,有準備的，準備好的,adjective,"When she called on me, I wasn't prepared.",她拜訪我時，我毫無準備。,/prɪˈpeəd/,/prɪˈperd/
presence,出席，在場;（事物的）存在，出現,noun,She was overawed by the presence of so many people.,這麼多人在場，把她嚇壞了。,/ˈprezns/,/ˈprezns/
present,（尤指表示友誼或致謝的）禮物，贈品,noun,a birthday/Christmas/wedding present,生日／聖誕／結婚禮物,/ˈpreznt/,/ˈpreznt/
presentation,報告，演講，陳述,noun,The speaker gave an interesting presentation on urban transport.,演講者針對城市交通發表了有趣的談話。,/ˌpreznˈteɪʃn/,/ˌpriːznˈteɪʃn/
preserve,保護，維護；保存；保養,verb,to preserve the environment,保護環境,/prɪˈzɜːv/,/prɪˈzɜːrv/
president,總統;國家主席,noun,President Kennedy,甘迺迪總統,/ˈprezɪdənt/,/ˈprezɪdənt/
press,按，壓；推；擠,verb,Press the button to start the machine.,按下按鈕，啟動機器。,/pres/,/pres/
