Word,中文,詞性,例句,中文說明,EN,US
opposed,完全不同的，截然相反的，迥然不同的,adjective,His view of the situation is diametrically (= very strongly) opposed to mine.,他對局勢的看法和我的截然不同。,/əˈpəʊzd/,/əˈpəʊzd/
opposing,對立的;對抗的,adjective,Opposing factions on the committee are refusing to compromise.,委員會內部的對立派別拒絕妥協。,/əˈpəʊzɪŋ/,/əˈpəʊzɪŋ/
opposite,全然不同的，迥異的，截然相反的,adjective,You'd never know they're sisters - they're completely opposite to each other in every way.,你怎樣也不會知道她們是姐妹——她們各方面都全然不同。,/ˈɒpəzɪt/,/ˈɑːpəzɪt/
opposition,（強烈的）反對，反抗，對抗,noun,There is a lot of opposition to the proposed changes.,對所提出的變革有很多反對意見。,/ˌɒpəˈzɪʃn/,/ˌɑːpəˈzɪʃn/
option,選擇，選項;選擇權,noun,The best option would be to cancel the trip altogether.,最好的選擇是徹底取消這次行程。,/ˈɒpʃn/,/ˈɑːpʃn/
or,（用於連接不同的可能性）或，或者；還是，亦或,conjunction,Is it Tuesday or Wednesday today?,今天是星期二還是星期三？,/ɔː(r)/,/ɔːr/
orange,橙;橘;柑,noun,a glass of orange juice,一杯柳橙汁,/ˈɒrɪndʒ/,/ˈɔːrɪndʒ/
order,點菜；訂製；訂貨,noun,"""Can I take your order now?"" said the waiter.",侍者問：「現在可以點菜了嗎？」,/ˈɔːdə(r)/,/ˈɔːrdər/
ordinary,普通的，平常的；平凡的；一般的,adjective,an ordinary neighbourhood,普通的街區,/ˈɔːdnri/,/ˈɔːrdneri/
organ,（動植物的）器官,noun,an external/internal/reproductive organ,外部／內部／生殖器官,/ˈɔːɡən/,/ˈɔːrɡən/
organization,組織，機構,noun,the World Health Organization,世界衛生組織,/ˌɔːɡənaɪˈzeɪʃn/,/ˌɔːrɡənəˈzeɪʃn/
organize,安排；組織；籌劃,verb,They organized a meeting between the teachers and students.,他們組織了一次師生會議。,/ˈɔːɡənaɪz/,/ˈɔːrɡənaɪz/
organized,安排有序的；有條理的,adjective,"The letters had been placed in organized piles, one for each letter of the alphabet.",信件已經按字母順序、每個字母一摞地放得整整齊齊。,/ˈɔːɡənaɪzd/,/ˈɔːrɡənaɪzd/
origin,起源，源頭;起因,noun,It's a book about the origin of the universe.,這是一本關於宇宙起源的書。,/ˈɒrɪdʒɪn/,/ˈɔːrɪdʒɪn/
original,起初的，原先的，最早的,adjective,Is this the original fireplace?,這是原先的壁爐嗎？,/əˈrɪdʒənl/,/əˈrɪdʒənl/
originally,原本，起初，原先,adverb,"Originally it was a bedroom, but we turned it into a study.",這原本是間睡房，但我們把它改成了書房。,/əˈrɪdʒənəli/,/əˈrɪdʒənəli/
other,其他的，別的，另外的,determiner,The product has many other time-saving features.,該產品還有許多其他的省時特性。,/ˈʌðə(r)/,/ˈʌðər/
otherwise,否則，不然,conjunction,"I'd better write it down, otherwise I'll forget it.",我最好把它寫下來，否則我會忘掉。,/ˈʌðəwaɪz/,/ˈʌðərwaɪz/
ought to,（表示做某事有必要、值得或有利）應該，應當,modal verb,You ought to be kinder to him.,你應該對他好一點。,,
our,我們的,determiner,We bought our house several years ago.,我們的房子是幾年前買的。,/ɑː(r)/,/ˈaʊə(r)/
ours,我們的,pronoun,Which table is ours?,哪張桌子是我們的？,/ɑːz/,/ˈaʊəz/
ourselves,（we 的反身形式）我們自己,pronoun,We went to get ourselves something to eat.,我們去給自己找了點吃的。,/ɑːˈselvz/,/ˌaʊəˈselvz/
out,出;向外,adverb,She opened the window and stuck her head out.,她打開窗戶，將頭探了出去。,/aʊt/,/aʊt/
outdoor,戶外的，室外的，露天的,adjective,an outdoor swimming pool/festival,室外游泳池／慶典,/ˈaʊtdɔː(r)/,/ˈaʊtdɔːr/
outdoors,（在）戶外，（在）野外,adverb,"If the weather's good, we'll eat outdoors (= not in a building).",如果天氣好，我們將在室外用餐。,/ˌaʊtˈdɔːz/,/ˌaʊtˈdɔːrz/
outer,遠離中心的;外圍的,adjective,outer London,外倫敦,/ˈaʊtə(r)/,/ˈaʊtər/
outline,輪廓，略圖，外形,noun,She drew the outline of the boat and then coloured it in.,她畫了這隻船的草圖，然後給它著色。,/ˈaʊtlaɪn/,/ˈaʊtlaɪn/
output,（人、機器、工廠、國家等的）產量,noun,Last year manufacturing output fell by 14 percent.,去年製造業的產量下降了14%。,/ˈaʊtpʊt/,/ˈaʊtpʊt/
outside,在外面（的），在室外（的）;在…外面（的）,adjective,It was a sunny day outside.,外面的天氣真好。,/ˌaʊtˈsaɪd/,/ˌaʊtˈsaɪd/
outstanding,優秀的；卓越的；出眾的,adjective,an outstanding performance/writer/novel/year,傑出的表現／優秀的作家／出色的小說／不同凡響的一年,/aʊtˈstændɪŋ/,/aʊtˈstændɪŋ/
oven,烤箱；烤爐,noun,a conventional/gas/fan-assisted oven,普通／燃氣／鼓風助力烤箱,/ˈʌvn/,/ˈʌvn/
over,在…上方,preposition,"The sign over the door said ""Exit"".",門上方的牌子上寫著「出口」。,/ˈəʊvə(r)/,/ˈəʊvər/
overall,總的（來說）；全面的（地）；包括一切的（地）,adverb,"The overall situation is good, despite a few minor problems.",儘管有些小問題，局勢總的來說是好的。,/ˌəʊvərˈɔːl/,/ˌəʊvərˈɔːl/
overcome,克服；戰勝；攻克；解決,verb,Juventus overcame Ajax in a thrilling game.,在這場扣人心弦的比賽中，尤文圖斯隊戰勝了阿賈克斯隊。,/ˌəʊvəˈkʌm/,/ˌəʊvərˈkʌm/
owe,欠（債）;欠（帳）;該償還,verb,I owe Janet $50.,我欠珍妮特50美元。,/əʊ/,/əʊ/
own,自己（的），本人（的）；自己人,determiner,Each neighbourhood in New York has its own characteristics.,紐約的每個居民區都有自己的特點。,/əʊn/,/əʊn/
owner,所有者；主人；物主,noun,Are you the owner of this car?,你是這輛車的車主嗎？,/ˈəʊnə(r)/,/ˈəʊnər/
own up,承認，坦白（錯誤）,phrasal verb,No one has owned up to stealing the money.,沒有人承認偷了那筆錢。,,
