Word,中文,詞性,例句,中文說明,EN,US
defence,保護，防護;防禦;辯護,noun,He published an essay in defence of the freedom of the press.,法官說無知不能成為有效的辯護理由。,/dɪˈfens/,/dɪˈfens/
defend,保護，防衛;為…辯護,verb,How can we defend our homeland if we don't have an army?,如果沒有軍隊，我們怎能保護我們的家園？,/dɪˈfend/,/dɪˈfend/
define,給（尤指單詞）下定義;說明，解釋,verb,"In the dictionary, ""reality"" is defined as ""the state of things as they are, rather than as they are imagined to be"".","在本詞典中，「reality（現實）」被解釋為「the state of things as they are, rather than as they are imagined to be（事物存在的狀況，而非其想像中的狀態）」。",/dɪˈfaɪn/,/dɪˈfaɪn/
definite,確定的，肯定的；明確的,adjective,The date for the meeting is now definite: 5 March .,開會的日期現在已經確定了：3月5日。,/ˈdefɪnət/,/ˈdefɪnət/
definitely,肯定，當然，毫無疑問,adverb,Have you definitely decided to go to Costa Rica?,你百分之百決定去哥斯大黎加了嗎？,/ˈdefɪnətli/,/ˈdefɪnətli/
definition,定義,noun,a dictionary definition,詞典中的定義,/ˌdefɪˈnɪʃn/,/ˌdefɪˈnɪʃn/
degree,數量；程度；水準,noun,This job demands a high degree of skill.,這項工作對技術的要求很高。,/dɪˈɡriː/,/dɪˈɡriː/
delay,（使）延遲，（使）延誤;（使）延期,verb,My plane was delayed by an hour.,我乘坐的飛機延誤了一個小時。,/dɪˈleɪ/,/dɪˈleɪ/
deliberate,（常指壞事）有意的，故意的，蓄意的,adjective,a deliberate attack/insult/lie,蓄意攻擊／侮辱／說謊,/dɪˈlɪbərət/,/dɪˈlɪbərət/
deliberately,故意地,adverb,I'm sure he says these things deliberately to annoy me.,我敢肯定他是故意說這些來氣我的。,/dɪˈlɪbərətli/,/dɪˈlɪbərətli/
delicate,脆弱的；嬌嫩的,adjective,Peaches have delicate skins which are easily bruised.,桃子的表皮很嬌嫩，容易碰傷。,/ˈdelɪkət/,/ˈdelɪkət/
delight,欣喜;滿足;愜意,noun,My sister's little boy is a real delight.,我姐姐的小兒子很討人喜歡。,/dɪˈlaɪt/,/dɪˈlaɪt/
delighted,令人高興的，使人愉快的，給人快樂的,adjective,a delighted audience,興高采烈的觀眾,/dɪˈlaɪtɪd/,/dɪˈlaɪtɪd/
deliver,運送，遞送，投遞,verb,Mail is delivered to our office twice a day.,郵差每天給我們辦公室投遞兩次郵件。,/dɪˈlɪvə(r)/,/dɪˈlɪvər/
delivery,運送，遞送，投遞,noun,We get two deliveries of mail (= it is delivered twice) a day.,我們每天收到兩次郵件。,/dɪˈlɪvəri/,/dɪˈlɪvəri/
demand,堅決請求，強烈要求;強要,verb,I demanded an explanation.,我要求給我一個解釋。,/dɪˈmɑːnd/,/dɪˈmænd/
demonstrate,顯示；表明,verb,These numbers clearly demonstrate the size of the economic problem facing the country.,這些數字清楚表明了該國經濟問題的嚴重程度。,/ˈdemənstreɪt/,/ˈdemənstreɪt/
dentist,牙科醫生,noun,You should have your teeth checked by a dentist at least twice a year.,你每年至少應該請牙科醫生檢查兩次牙齒。,/ˈdentɪst/,/ˈdentɪst/
deny,否認，否定,verb,He will not confirm or deny the allegations.,對那些指控他將不置可否。,/dɪˈnaɪ/,/dɪˈnaɪ/
department,（組織或機構中的）部，系，處，科，室,noun,the chemistry department/the department of chemistry,化學系,/dɪˈpɑːtmənt/,/dɪˈpɑːrtmənt/
departure,（人、交通工具等）離開;啟程，出發,noun,"There are several departures (= buses, trains, or aircraft leaving) for Paris every day.",每天都有幾班次去巴黎。,/dɪˈpɑːtʃə(r)/,/dɪˈpɑːrtʃər/
depend,由…決定，取決於,verb,Whether or not we go to Mexico for our holiday depends on the cost.,我們去不去墨西哥度假取決於需要花費多少錢。,/dɪˈpend/,/dɪˈpend/
depend on,信任…，相信…,phrasal verb,You can always depend on Michael in a crisis.,危機時刻你總是可以相信麥克。,,
deposit,留下;存放,verb,"The flood waters fell, depositing mud over the whole area.",洪水退去後，留下的淤泥覆蓋了整個地區。,/dɪˈpɒzɪt/,/dɪˈpɑːzɪt/
depress,使憂鬱，使沮喪,verb,This weather depresses me.,這種天氣讓我感到心情憂鬱。,/dɪˈpres/,/dɪˈpres/
depressed,憂鬱的，消沉的，沮喪的,adjective,He seemed a bit depressed about his work situation.,他似乎對自己的工作狀況有些沮喪。,/dɪˈprest/,/dɪˈprest/
depressing,令人沮喪的，使人感到壓抑的,adjective,This weather is so depressing.,這樣的天氣讓人感到十分壓抑。,/dɪˈpresɪŋ/,/dɪˈpresɪŋ/
depth,深度,noun,the depth of a lake/pond,湖泊／池塘的深度,/depθ/,/depθ/
derive,該機構的資金均來自海外投資。,verb,The institute derives all its money from foreign investments.,該機構的資金均來自海外投資。,/dɪˈraɪv/,/dɪˈraɪv/
derive from,來自於，源自,phrasal verb,"The English word ""olive"" is derived from the Latin word ""oliva"".",英語的 olive 一詞源自拉丁語中的 oliva。,,
describe,描述，描寫，描繪,verb,Could you describe your attacker?,你能描述一下襲擊你的人的樣子嗎？,/dɪˈskraɪb/,/dɪˈskraɪb/
description,描述，描寫，描繪,noun,Write a description of your favourite beach.,描述一下你最喜歡的海濱勝地。,/dɪˈskrɪpʃn/,/dɪˈskrɪpʃn/
desert,沙漠，荒漠,noun,They were lost in the desert for nine days.,他們在沙漠裡迷路已經有9天了。,/ˈdezət/,/ˈdezərt/
deserted,空無一人的，空曠的，空蕩蕩的,adjective,a deserted building/street,空無一人的建築／街道,/dɪˈzɜːtɪd/,/dɪˈzɜːrtɪd/
deserve,值得；應得,verb,"After all that hard work, you deserve a holiday.",做了那麼多工作，你該放假了。,/dɪˈzɜːv/,/dɪˈzɜːrv/
design,設計;製（圖）,verb,Who designed this building/dress/furniture?,是誰設計的這座建築物／這款裙子／這套傢俱？,/dɪˈzaɪn/,/dɪˈzaɪn/
desire,（尤指強烈地）渴望，希望，想要,verb,I desire only to be left in peace.,我只想清清靜靜地不受打擾。,/dɪˈzaɪə(r)/,/dɪˈzaɪər/
desk,（常指帶抽屜的）書桌，辦公桌，寫字枱,noun,an office/school desk,辦公桌／書桌,/desk/,/desk/
desperate,非常嚴重的；非常糟糕的,adjective,desperate poverty,赤貧,/ˈdespərət/,/ˈdespərət/
desperately,非常;極其,adverb,He was desperately ill.,他病得很重。,/ˈdespərətli/,/ˈdespərətli/
despite,不管;儘管;無論,preposition,I still enjoyed the week despite the weather.,儘管天氣不好，這一周我過得還是很愉快的。,/dɪˈspaɪt/,/dɪˈspaɪt/
destroy,毀壞，摧毀，毀滅,verb,Most of the old part of the city was destroyed by bombs during the war.,該城的大部分老城區都在戰爭中被炸毀了。,/dɪˈstrɔɪ/,/dɪˈstrɔɪ/
destruction,毀滅，消滅，破壞,noun,Many people are very concerned about the destruction of the rainforests.,許多人都非常關注雨林遭破壞的問題。,/dɪˈstrʌkʃn/,/dɪˈstrʌkʃn/
detail,消息;細節,noun,She insisted on telling me every single detail of what they did to her in hospital.,她堅持要告訴我她在醫院遭遇的一切。,/ˈdiːteɪl/,/ˈdiːteɪl/
detailed,詳盡的，詳細的,adjective,A witness gave a detailed description of the man.,一位目擊者詳細描述了那個人的體貌特徵。,/ˈdiːteɪld/,/ˈdiːteɪld/
determination,決心；毅力,noun,a man of fierce/ruthless determination,很有毅力／痛下決心的人,/dɪˌtɜːmɪˈneɪʃn/,/dɪˌtɜːrmɪˈneɪʃn/
determine,確定，決定;影響,verb,The number of staff we can take on will be determined by how much money we're allowed to spend.,我們僱用的人數將取決於可支配資金的多少。,/dɪˈtɜːmɪn/,/dɪˈtɜːrmɪn/
determined,下定決心的，堅決的，決意的,adjective,I'm determined to get this piece of work done today.,我決心今天完成這項工作。,/dɪˈtɜːmɪnd/,/dɪˈtɜːrmɪnd/
develop,（使）發展；（使）發育；（使）成長,verb,It became clear that he wasn't developing like all the other little boys.,顯然他沒有像其他小男孩那樣正常生長發育。,/dɪˈveləp/,/dɪˈveləp/
development,成長，發育；發展,noun,healthy growth and development,健康的成長發育,/dɪˈveləpmənt/,/dɪˈveləpmənt/
device,裝置，器械,noun,a contraceptive/electronic device,避孕器具／電子裝置,/dɪˈvaɪs/,/dɪˈvaɪs/
devote,將…貢獻給，把…奉獻給,phrasal verb,He left the Senate to devote more time to his family.,為了能有更多時間陪伴家人，他離開了參議院。,/dɪˈvəʊt/,/dɪˈvəʊt/
devoted,摯愛的;忠實的，忠誠的,adjective,a devoted fan/husband,忠實的支持者／忠誠的丈夫,/dɪˈvəʊtɪd/,/dɪˈvəʊtɪd/
devote to,將…貢獻給，把…奉獻給,phrasal verb,He left the Senate to devote more time to his family.,為了能有更多時間陪伴家人，他離開了參議院。,,
diagram,圖，圖解，示意圖,noun,The teacher drew a diagram showing how the blood flows through the heart.,老師畫了一張示意圖來說明血液如何進出心臟。,/ˈdaɪəɡræm/,/ˈdaɪəɡræm/
diamond,鑽石，金剛石,noun,The tiara was set with diamonds and rubies.,頭飾上鑲嵌著鑽石和紅寶石。,/ˈdaɪmənd/,/ˈdaɪmənd/
diary,日記，日誌,noun,"While in hiding, Anne Frank kept a diary.",安妮‧法蘭克在躲匿期間堅持寫日記,/ˈdaɪəri/,/ˈdaɪəri/
dictionary,字典，詞典,noun,a French-English/English-French dictionary,法英／英法詞典,/ˈdɪkʃənri/,/ˈdɪkʃəneri/
die,死去，死亡，過世,verb,Twelve people died in the accident.,十二人在此次事故中喪生。,/daɪ/,/daɪ/
die away,（尤指聲音）漸漸消失,phrasal verb,The sound of his footsteps gradually died away.,他的腳步聲漸漸消失了。,,
die out,逐漸消失;滅絕,phrasal verb,Dinosaurs died out millions of years ago.,數百萬年前恐龍就已經滅絕了。,,
diet,（日常）飲食,noun,Diet varies between different countries in the world.,世界各國的飲食各不相同。,/ˈdaɪət/,/ˈdaɪət/
difference,區別，差別，不同,noun,What's the difference between an ape and a monkey?,猿和猴有甚麼區別？,/ˈdɪfrəns/,/ˈdɪfrəns/
different,不同的，不一樣的，有差別的,adjective,She seems to wear something different every day.,她似乎每天都穿不一樣的衣服。,/ˈdɪfrənt/,/ˈdɪfrənt/
differently,不同地，不一樣地，有差別地,adverb,Are girls treated differently?,女孩子們受到的待遇不一樣嗎？,/ˈdɪfrəntli/,/ˈdɪfrəntli/
difficult,困難的，費力的，艱難的,adjective,a difficult problem/choice/task/language,難題／艱難的選擇／艱巨的任務／難學的語言,/ˈdɪfɪkəlt/,/ˈdɪfɪkəlt/
difficulty,困難，艱辛,noun,"We finished the job, but only with great difficulty.",我們非常艱難地完成了工作。,/ˈdɪfɪkəlti/,/ˈdɪfɪkəlti/
dig,挖，挖掘（土）,verb,Digging (in) the garden is good exercise.,在花園裡挖土是一種很好的鍛煉。,/dɪɡ/,/dɪɡ/
digital,（用一串分別代表信號正負的數字1和0來記錄或存儲資訊）數位的,adjective,digital data,數位資料,/ˈdɪdʒɪtl/,/ˈdɪdʒɪtl/
dinner,正餐（通常指晚餐，在英國有時指午餐）,noun,We were just having (our) dinner.,我們正在吃晚餐。,/ˈdɪnə(r)/,/ˈdɪnər/
direct,直通的，直達的,adjective,a direct route/line,直通的路徑／線路,/dəˈrekt/,/daɪˈrekt/
direction,方向，朝向,noun,"""No, go that way,"" I said, pointing in the opposite direction.",「不對，往那邊走，」我一邊說一邊指著相反的方向。,/dəˈrekʃn/,/daɪˈrekʃn/
directly,直接地,adverb,Our hotel room was directly above a construction site.,我們在飯店住的房間就在建築工地的上方。,/dəˈrektli/,/daɪˈrektli/
director,經理，管理者，主任，董事,noun,the board of directors,董事會,/dəˈrektə(r)/,/daɪˈrektə(r)/
dirt,塵土，泥土，灰塵,noun,His coat was covered with dirt.,他的外套上滿是泥土。,/dɜːt/,/dɜːrt/
dirty,髒的，骯髒的,adjective,Her face was dirty and tear-stained.,她的臉很髒，還留有淚痕。,/ˈdɜːti/,/ˈdɜːrti/
disabled,殘疾的，喪失能力的,adjective,The accident left him severely disabled.,那次事故致使他嚴重殘疾。,/dɪsˈeɪbld/,/dɪsˈeɪbld/
disadvantage,劣勢，不利因素,noun,One disadvantage of living in the town is the lack of safe places for children to play.,住在城裡不好的一個方面是缺少可供孩子們放心玩耍的地方。,/ˌdɪsədˈvɑːntɪdʒ/,/ˌdɪsədˈvæntɪdʒ/
disagree,不同意，持異議，反對,verb,I'm afraid I have to disagree with you (on that issue).,（關於那個問題）恐怕我不能同意你的看法。,/ˌdɪsəˈɡriː/,/ˌdɪsəˈɡriː/
disagreement,分歧，意見不合,noun,We had a disagreement about/over the fee for the work.,我們對這項工作的費用有爭議。,/ˌdɪsəˈɡriːmənt/,/ˌdɪsəˈɡriːmənt/
disappear,消失；失蹤,verb,The search was called off for the sailors who disappeared in the storm.,搜尋在風暴中失蹤水手的行動被取消了。,/ˌdɪsəˈpɪə(r)/,/ˌdɪsəˈpɪr/
disappoint,（使）失望，（使）沮喪,verb,"I'm sorry to disappoint you, but I'm afraid I can't come after all.",很抱歉讓你失望，但恐怕我真的來不了。,/ˌdɪsəˈpɔɪnt/,/ˌdɪsəˈpɔɪnt/
disappointed,失望的，沮喪的,adjective,We were deeply disappointed at/about the result.,我們對這個結果深感失望。,/ˌdɪsəˈpɔɪntɪd/,/ˌdɪsəˈpɔɪntɪd/
disappointing,令人失望的，讓人沮喪的,adjective,What a disappointing result!,這個結果太讓人失望了！,/ˌdɪsəˈpɔɪntɪŋ/,/ˌdɪsəˈpɔɪntɪŋ/
disappointment,失望，沮喪,noun,Get tickets early to avoid disappointment.,早點預訂以免撲空。,/ˌdɪsəˈpɔɪntmənt/,/ˌdɪsəˈpɔɪntmənt/
disapproval,反對，不贊成,noun,"Although they said nothing, she could sense their disapproval of her suggestion.",雖然他們甚麼也沒說，但她能感覺到他們並不贊成她的建議。,/ˌdɪsəˈpruːvl/,/ˌdɪsəˈpruːvl/
disapprove,反對;不贊成,verb,"The survey showed that 32 percent of respondents approve, 54 percent disapprove, and the rest are undecided.",這項調查表明32%的受訪者贊成，54%反對，其餘的人尚未拿定主意。,/ˌdɪsəˈpruːv/,/ˌdɪsəˈpruːv/
disapproving,表示反對的，表示不贊成的,adjective,a disapproving look,不贊成的神色,/ˌdɪsəˈpruːvɪŋ/,/ˌdɪsəˈpruːvɪŋ/
disaster,災難，大禍,noun,An inquiry was ordered into the recent rail disaster (= a serious train accident).,有關方面下令調查最近這次鐵路災難事故。,/dɪˈzɑːstə(r)/,/dɪˈzæstər/
disc,圓盤，盤狀物,noun,The dog's name was engraved on a little metal disc attached to its collar.,狗的名字刻在項圈上吊著的一塊金屬小圓盤上。,/dɪsk/,/dɪsk/
discipline,訓導;訓練;紀律;約束,noun,parental/military/school discipline,父母的訓導／軍事訓練／校規,/ˈdɪsəplɪn/,/ˈdɪsəplɪn/
discount,減價，打折,noun,They usually give you a discount if you buy multiple copies.,你如果多買幾本他們通常會給你打折。,/ˈdɪskaʊnt/,/ˈdɪskaʊnt/
discover,（尤指首次）發現，找到,verb,Who discovered America?,誰發現了美洲？,/dɪˈskʌvə(r)/,/dɪˈskʌvər/
discovery,（尤指首次）發現（的過程）；被發現的事物,noun,the discovery of electricity,電的發現,/dɪˈskʌvəri/,/dɪˈskʌvəri/
discuss,討論，議論，談論,verb,The police want to discuss these recent racist attacks with local people.,警方希望與當地人討論近期發生的種族主義襲擊事件。,/dɪˈskʌs/,/dɪˈskʌs/
discussion,討論，議論，談論,noun,We will hold/have discussions with employee representatives about possible redundancies.,我們將與僱員代表討論裁員的可能性。,/dɪˈskʌʃn/,/dɪˈskʌʃn/
disease,病，疾病,noun,a contagious/infectious disease,傳染病,/dɪˈziːz/,/dɪˈziːz/
disgust,厭惡，憎惡，反感,noun,She walked out in disgust.,她厭惡地走了出去。,/dɪsˈɡʌst/,/dɪsˈɡʌst/
disgusted,反感的，厭惡的，憎惡的,adjective,She was disgusted at the way they treated their children.,她很反感他們對待孩子的方式。,/dɪsˈɡʌstɪd/,/dɪsˈɡʌstɪd/
disgusting,令人厭惡的，讓人憎惡的，使人反感的,adjective,It's disgusting that there are no schools or hospitals for these people.,沒有面向這些人的學校和醫院，這真令人無法接受。,/dɪsˈɡʌstɪŋ/,/dɪsˈɡʌstɪŋ/
dish,碟子，盤子,noun,an oven-proof dish,可用於烤箱的盤子,/dɪʃ/,/dɪʃ/
dishonest,不誠實的，不老實的，不正直的,adjective,a dishonest lawyer,不正直的律師,/dɪsˈɒnɪst/,/dɪsˈɑːnɪst/
dishonestly,不誠實地，不老實地，不正直地,adverb,The money was dishonestly obtained.,這筆錢是以不誠實的方式獲得的。,/dɪsˈɒnɪstli/,/dɪsˈɑːnɪstli/
disk,（電腦）磁碟，光碟,noun,Put the disk into the drive.,把光碟放進磁碟機裡,/dɪsk/,/dɪsk/
dislike,不喜歡，討厭,verb,Why do you dislike her so much?,你爲甚麽這麽不喜歡她？,/dɪsˈlaɪk/,/dɪsˈlaɪk/
dismiss,對…不予理會，摒棄，（從頭腦中）去除,verb,I think he'd dismissed me as an idiot within five minutes of meeting me.,我認爲他和我見面五分鐘後就把我歸入了傻瓜之列。,/dɪsˈmɪs/,/dɪsˈmɪs/
display,佈置，排列，陳列,verb,Family photographs were displayed on the wall.,牆上掛著家人的照片。,/dɪˈspleɪ/,/dɪˈspleɪ/
dissolve,（使）溶解,verb,Dissolve two spoons of powder in warm water.,將兩勺粉末溶解在溫水中。,/dɪˈzɒlv/,/dɪˈzɑːlv/
distance,距離，路程,noun,What's the distance between Madrid and Barcelona/from Madrid to Barcelona?,馬德里和巴賽隆那相距有多遠？,/ˈdɪstəns/,/ˈdɪstəns/
distinguish,區分，分辨；使有所區別,verb,He's colour-blind and can't distinguish (the difference) between red and green easily.,他是色盲，很難分清紅色和綠色（的不同）。,/dɪˈstɪŋɡwɪʃ/,/dɪˈstɪŋɡwɪʃ/
distribute,分發，散發;分配,verb,The books will be distributed free to local schools.,這些書將免費發放給當地學校。,/dɪˈstrɪbjuːt/,/ˈdɪstrɪbjuːt/
distribution,分發，散發;分配,noun,Has the Channel Tunnel improved the distribution of goods between the British Isles and mainland Europe?,海峽隧道是否改善了不列顛群島與歐洲大陸之間的貨物流通？,/ˌdɪstrɪˈbjuːʃn/,/ˌdɪstrɪˈbjuːʃn/
district,區，區域,noun,the business district of New York,紐約的商業區,/ˈdɪstrɪkt/,/ˈdɪstrɪkt/
disturb,打斷;干擾,verb,Please don't disturb your sister - she's trying to do her homework.,請不要打擾你姐姐——她正在做功課。,/dɪˈstɜːb/,/dɪˈstɜːrb/
disturbing,令人焦慮的，使人憂慮的；讓人心煩的,adjective,"The article described the latest crime figures as ""disturbing"".",這篇文章表示最近的犯罪數目「令人擔憂」。,/dɪˈstɜːbɪŋ/,/dɪˈstɜːrbɪŋ/
divide,（使）分開；（使）分組,verb,"At the end of the lecture, I'd like all the students to divide into small discussion groups.",講座結束後，我想讓所有學生分成幾個討論小組。,/dɪˈvaɪd/,/dɪˈvaɪd/
division,分配；分配方法,noun,the equal division of labour between workers,工人間工作的平均分配,/dɪˈvɪʒn/,/dɪˈvɪʒn/
divorce,離婚,noun,The last I heard they were getting a divorce.,上次我聽說他們正在辦理離婚手續。,/dɪˈvɔːs/,/dɪˈvɔːrs/
divorced,離婚的，離異的,adjective,She's divorced.,她離婚了。,/dɪˈvɔːst/,/dɪˈvɔːrst/
doctor,醫生，大夫,noun,The doctor prescribed some medication.,醫生開了一些藥。,/ˈdɒktə(r)/,/ˈdɑːktər/
document,（尤指正式的）文件，公文,noun,official/confidential/legal documents,正式／機密／法律文件,/ˈdɒkjumənt/,/ˈdɑːkjumənt/
dog,（尤指當作寵物或用來打獵、看護的）狗，犬,noun,my pet dog,我的寵物狗,/dɒɡ/,/dɔːɡ/
dollar,（美國、加拿大、澳大利亞、紐西蘭等國的貨幣單位）元,noun,Can I borrow $10?,我能借十元嗎？,/ˈdɒlə(r)/,/ˈdɑːlər/
domestic,本國的，國內的,adjective,domestic airlines/flights,國內航空公司／航班,/dəˈmestɪk/,/dəˈmestɪk/
dominate,統治；控制,verb,He refuses to let others speak and dominates every meeting.,每次開會他都專橫跋扈，不讓他人講話。,/ˈdɒmɪneɪt/,/ˈdɑːmɪneɪt/
door,門,noun,the front door,前門,/dɔː(r)/,/dɔːr/
dot,小圓點,noun,The full stop at the end of this sentence is a dot.,這個句子末尾的句號是一個小圓點。,/dɒt/,/dɑːt/
double,兩倍的;成雙的;雙份的,adjective,I ordered a double espresso (= two standard amounts in one cup).,我點了一杯雙份的濃縮咖啡。,/ˈdʌbl/,/ˈdʌbl/
doubt,（尤指對好壞、真實性的）懷疑，疑慮，疑問,noun,I'm having doubts about his ability to do the job.,我對他是否能勝任此項工作還有一些疑問。,/daʊt/,/daʊt/
do with,擺脫，拋棄;廢除,phrasal verb,These ridiculous rules and regulations should have been done away with years ago.,這些荒唐的規章制度幾年前就該廢除了。,,
do without,湊合，應付，將就,phrasal verb,"There's no mayonnaise left, so you'll just have to do without.",蛋黃醬用完了，恐怕你只得將就著不用它了。,,
down,在下面；向下，朝下,adverb,Is this lift going down?,這部電梯是向下開的嗎？,/daʊn/,/daʊn/
downstairs,朝樓下，在樓下（尤指底層）,adverb,I went downstairs to answer the phone.,我下樓去接電話。,/ˌdaʊnˈsteəz/,/ˌdaʊnˈsterz/
downward,向下的，朝下的,adjective,a downward trend,下降的趨勢,/ˈdaʊnwəd/,/ˈdaʊnwərd/
downwards,向下地，朝下地,adverb,The road slopes gently downwards for a mile or two.,這條路緩緩向下延伸了一兩英里。,/ˈdaʊnwədz/,/ˈdaʊnwərdz/
dozen,十二個，一打,noun,a dozen eggs,一打雞蛋,/ˈdʌzn/,/ˈdʌzn/
draft,草案；草稿；草圖,noun,This is only a rough draft - the finished article will have pictures too.,這只是一個粗略的草稿——定稿後的文章中還會有一些圖片。,/drɑːft/,/dræft/
drag,拖，拉，拽，牽引,verb,Pick the chair up instead of dragging it behind you!,把椅子拿起來，不要在地上拖！,/dræɡ/,/dræɡ/
drama,戲劇;舞臺劇;表演,noun,She's starred in several TV dramas.,她演過幾部電視劇。,/ˈdrɑːmə/,/ˈdrɑːmə/
dramatic,驟然的;戲劇性的;激動人心的,adjective,a dramatic change/improvement,戲劇性的變化／改善,/drəˈmætɪk/,/drəˈmætɪk/
dramatically,突然地;明顯地,adverb,Your life changes dramatically when you have a baby to take care of.,有了孩子以後你的生活會驟然發生巨大的變化。,/drəˈmætɪkli/,/drəˈmætɪkli/
draw,畫，繪畫,verb,Jonathan can draw very well.,喬納森的畫畫得相當棒。,/drɔː/,/drɔː/
